global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
3008.916046084385	n/a	n/a	9053575.772384088	5434.549117238898	n/a	n/a	29534324.10768209	3035.490200762982	n/a	n/a	9214200.75892809	3401.064250889109	3451.630357691625	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0734184999999999	n/a	0.0053902761422499	n/a	-0.0922786	n/a	n/a	0.00851534001796	-2.25898	n/a	5.102990640400001	n/a	0.0118584	n/a	n/a	0.00014062165056	0.00573579	n/a	n/a	3.28992869241e-05	-0.00239492	n/a	5.7356418064e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0
2987.88039312127	-21.0356529631149	442.4986955846046	8927429.243598515	5255.33587004009	-179.21324719880795	32117.387971541044	27618555.106930032	3035.1251609108663	-0.3650398521158422	0.1332540936327559	9211984.742394213	3373.0925365846547	3410.314828555234	2.01724	39.270321	0.0485705999999995	0.0283899	-0.04238238	-0.0566920779	-0.0389753817	0.0533355552	0.1984935741	0.1284292483	0.1700259791	0.1666214208	-0.1186875667	0.0465369788	-0.0517546944	0.134481743	-0.2121551703	0.0194112469	-0.3194784465	0.5503456515	-0.1901318033	0.0045292579	-0.0236152399	0.0174488724	-0.1277581237	0.0823394818	-0.020937678	0.0257157511	-0.0034394378	0.0199304614	-0.1190819102	0.04828559	-0.0394149807	0.0381149418	-0.0014844713	0.0132867923	-0.0113515102	0.0894295039	-0.0270347476	0.03536216	-0.0243293917	0.0124525066	0.0603707251	-0.0339041104	0.028662315	0.0343447749	-0.0305636775	-0.0227686144	0.0507860648	0.0129169136	-0.0462154328	-0.0100153416	-0.0174747747	0.0404770997	-0.0097473553	0.0466093633	-0.0464552958	0.0079705493	-0.0233566132	0.0366158359	-0.0415707995	0.0646918776	-0.0174242947	0.0780043259	-0.0473124313	0.0438343451	-0.0070623388	0.000759248	-0.0370387773	0.0401715315	-0.0186076264	0.0245360632	-0.0711039872	0.0632296572	-0.0494557899	0.0337785299	-0.0067450738	0.0056445517	-0.0777332477	-0.0211391124	0.0044879381	0.0106483623	-0.0835930703	0.0885791823	-0.0045314722	-0.0083850411	-0.0622303363	0.0679327748	0.0851882314	-0.2383308209	-0.3097697493	0.1379646834	-0.040187678	0.2494737216	-0.481897513	0.1934173535	-0.0212700692	0.1640748271	-0.1289450603	0.0305518563	-0.2003603468	0.0637781536	-0.0859309448	0.1322613241	-0.012315587	0.0231933647	-0.1796685053	0.1198018486	-0.0202335365	0.0157861235	-0.1495147563	0.0841819948	-0.0193114609	0.0035235013	-0.00663688	0.0259413446	-0.0668518451	0.0641867862	-0.0431151524	0.0416972555	-0.1734412672	-0.0243910474	0.0628228703	0.0239598961	-0.0432187735	0.0608301513	0.0060135747	0.005397962	0.0013620259	-0.0365527333	0.0364210407	-0.0470457438	0.0658940084	-0.0178891497	0.0438236287	-0.006836167	0.0093066725	-0.0124266045	0.0224314942	-0.0340648578	0.0314076313	-0.0320011083	0.0033872819	0.0734216517	0.0734196774	0.073416387	0.0734117805	0.0	-0.0690423	0.0043761999999999	0.00476683918929	1.9151126439999123e-05	-0.0912002	0.0010784	1.1629465600000153e-06	0.00831747648004	-2.26122	-0.0022399999999995	5.113115888399999	5.017599999998099e-06	0.0114054	-0.000453	2.0520900000000026e-07	0.00013008314916	0.00555874	-0.0001770499999999	3.134670249999992e-08	3.0899590387600004e-05	-0.00220745	0.0001874699999999	4.872835502500001e-06	3.5145000899999964e-08	1.0	0.0	0.0	0.0	0.0	0.0
2991.451740493864	3.571347372593664	12.754522055731666	8948783.515703768	5283.43971172132	28.103841681229824	789.8259172436308	27914735.187393863	3034.647668371668	-0.4774925391984652	0.2279991249901978	9209086.4711536	3381.2978321284204	3344.323679250437	2.759652	53.723106	0.6345052999999997	0.537791	-0.0779840247	-0.0157321266	0.0298651363	0.1187247331	0.0715905337	0.0802947943	0.1641130528	0.1411983914	-0.1828425737	0.0469750865	-0.0396822891	0.0908825804	-0.1459851141	-0.0114462345	-0.24597233	0.2607378551	-0.0835569701	0.0223478128	0.0438767871	0.0508836168	0.0232838525	-0.0059732251	0.0232455362	0.0324357675	-0.0670771473	0.0919831103	-0.0353169457	-0.0097760364	0.0539794571	0.0419762776	-0.034651711	0.0252037163	0.0448897351	-0.036116485	0.0313334284	-0.0360062155	-0.0291104673	0.0045096283	-0.0565158571	0.0001276566	-0.0486193008	-0.0506684139	0.0396496958	-0.0148124402	-0.0237342574	0.0255060487	0.0407588745	0.0339536864	-0.0495943859	-0.0216140914	-0.0251296169	-0.061074634	-0.0141700581	-0.0711867045	0.0336111756	-0.1031353678	-0.0964238633	0.0329077551	0.0137027754	0.0194705975	0.07075386	0.0391295825	-0.0341607813	0.0157313941	0.0375036354	-0.0326414282	-0.0195914731	0.0073508394	0.1197759988	-0.0083222709	0.0356831628	-0.0249210134	-0.0322390978	-0.0570833602	0.0853304847	0.0345610119	0.0066841618	-0.0736424665	0.1083781653	-0.1679050521	-0.0436544259	0.0299761735	-0.1538025354	0.0913240337	0.0420800187	-0.1637484617	-0.154244982	0.0932124217	0.0020776922	0.214949817	-0.2705547276	0.0373616046	-0.0465096319	0.0154437809	-0.0475113273	0.0998310899	0.0198989139	-0.0774011225	-0.2109376351	-0.2976639222	-0.0273024946	-0.0839114477	0.1822617059	-0.0085067338	0.0192779455	-0.0786510399	0.1606132885	-0.1612824135	0.1474624891	-0.0073489941	-0.0209868481	-0.1108471334	0.0894253578	-0.1469249281	0.0750976294	-0.121881759	0.2034516848	-0.0088534132	-0.0759201581	-0.0392536041	0.0584511641	-0.0135005983	-0.0796208812	0.0218166487	0.0397796381	0.0227182824	-0.0370926552	0.0764372634	-0.0497111661	-0.0058412173	-0.1245940457	-0.0355118924	-0.0294587902	0.0005963021	-0.0073734629	0.0316344584	0.0120863226	0.026663862	0.0367914422	0.073416387	0.0733986196	0.0733690104	0.0733275642	0.0	-0.0840789	-0.0150365999999999	0.0070692614252099	0.0002260993395599	-0.050872	0.0403281999999999	0.0016263637152399	0.002587960384	-1.73283	0.5283899999999997	3.0026998089	0.2791959920999997	0.0109943	-0.0004110999999999	1.6900320999999946e-07	0.00012087463249	0.00553156	-2.718000000000078e-05	7.387524000000423e-10	3.0598156033599995e-05	-0.00163072	0.00057673	2.6592477184e-06	3.326174929000001e-07	0.0	1.0	0.0	0.0	0.0	0.0
2992.7179311905115	1.2661906966477543	1.603238880277326	8956360.615669215	5223.429469593784	-60.010242127536	3601.229160205497	27284215.4238208	3043.5085938993866	8.860925527718791	78.51600120777854	9262944.561139422	3383.967837003135	3278.7731302754864	2.511387	48.890057	1.348659585	1.00332	-0.1143060435	0.002618232	0.0645667821	0.1566232696	0.0431344106	0.0626460607	0.0648438076	0.0640100295	-0.1510725699	0.015058004	-0.0019447307	-0.0040949088	0.0240655884	-0.0402717805	-0.090054655	-0.1585473489	0.0681629153	-0.0211601641	-0.0858411509	0.0383995607	0.0543877988	0.0884000406	-0.0283671619	0.0494359832	0.0730136783	0.1178441666	-0.0136630482	-0.0374383568	-0.1095092483	-0.0509086859	0.0686271711	-0.0563665466	-0.0006757318	-0.1007653374	-0.1194701579	-0.0081197428	-0.0870929547	-0.0377503005	0.0690664092	-0.0542206705	0.0006900055	-0.0348264145	0.0201272629	-0.1082012438	0.1196444892	0.0483917593	-0.0243638923	-0.0450227432	0.0541365933	-0.0442433814	-0.0444451882	0.0209015479	-0.0666465085	0.0193780662	0.0087122958	-0.0423506263	-0.1026446493	0.008203577	0.0858560172	-0.092204576	0.084589519	0.0627299268	0.0595989484	0.0120116731	0.0164685193	-0.0461543995	0.0825003326	0.0489292385	-0.0196523304	0.0459350137	0.0912437679	-0.0643887674	0.019257809	0.0064021676	-0.0510263624	-0.0685249413	0.0201160735	-0.0585607009	-0.0850417453	0.0536950729	-0.0130481925	-0.0310280711	-0.1579445175	0.0507072525	0.0034839108	-0.0459380611	-0.0386584065	-0.0163709287	-0.0034096628	0.0984329192	0.0602929691	-0.0170573812	0.0543862233	-0.2693825662	0.0498631175	0.0435850141	-0.0460540069	-0.2039199689	-0.09750343	0.096310938	-0.0608343805	-0.0379150032	-0.1746579418	-0.14644014	-0.055544066	0.1144637717	-0.1115936151	-0.0657256552	-0.2334687483	-0.027843638	-0.0194173193	-0.0371790343	0.0192344869	-0.0703493381	0.22410186	0.0373641463	0.0421868329	0.2178038204	0.0795691316	0.0277392422	-0.0137126354	-0.0273273533	0.0530173388	-0.0584641111	-0.1449083052	-0.0784649388	-0.0221481544	-0.1050906179	0.0241051998	-0.0046519229	-0.0182925243	-0.0395034272	-0.0065555104	0.0245853422	-0.0049394151	-0.0740662731	0.0023104619	0.060178977	-0.1120565101	0.073405858	0.0733565099	0.0732742877	0.0731592282	0.0	-0.0824692999999999	0.0016096	0.0068011854424899	2.5908121600003213e-06	-0.0154508	0.0354212	0.00125466140944	0.00023872722064	-1.11809	0.6147400000000001	1.2501252481	0.3779052676000001	-0.000727869	-0.011722169	0.0001374092460645	5.297932811610001e-07	0.00490785	-0.0006237099999999	3.890141640999994e-07	2.40869916225e-05	-3.88233e-05	0.0015918967	1.50724862289e-09	2.53413510347089e-06	0.0	0.0	1.0	0.0	0.0	0.0
2983.33832757896	-9.379603611551374	87.97696390982759	8900307.576801628	5157.141254625823	-66.28821496796081	4394.127443638584	26596105.920163613	3037.9466291307567	-5.561964768629878	30.93545208748001	9229119.721446928	3378.665973585307	3275.201793750683	1.486957	28.947121	0.30306915	0.197978	-0.1076737696	0.0198959817	0.0722320482	0.1721350889	0.0130592764	0.0774954471	0.004723119	0.0258523964	-0.1633873139	0.03430759	-0.0357024421	-0.009376178	-0.0209503175	-0.0358245509	-0.0513455327	-0.0909947108	0.0945468125	-0.0373454397	0.0196312732	0.032497904	-0.0024762737	0.0484088702	-0.0075666673	-0.0084356265	0.0473571971	-0.0110989735	0.0540951218	0.0564603794	-0.0418197174	-0.1013290659	0.0492377544	0.0689236319	0.0697908849	-0.0089061741	0.0065238545	-0.0119408821	-0.0712522031	0.0164643591	0.0199313294	-0.0993025814	0.0528240085	0.0442907941	0.0091310049	0.0385507714	0.00502183	0.029750413	0.0260433577	-0.0564028226	-0.0109891346	0.0353615657	-0.0720981963	-0.0022629732	0.0082226279	0.1235279074	0.0114937294	-0.0249824643	-0.0912452065	-0.0161112485	0.0022180948	0.0056768114	-0.0128487523	-0.039526408	0.0434446863	0.057797371	0.0891717745	-0.0629819193	-0.0030678995	-0.008210194	0.0245577889	-0.0885869628	0.1035421426	0.039629061	0.0096066732	-0.0080106722	0.0698997784	0.0962204522	0.0120012279	-0.0364220788	-0.0416022726	0.0796649259	-0.0353491525	0.1048611273	-0.1648626537	0.0743369723	0.0003928337	-0.0292428281	-0.0042646938	-0.0161969117	-0.0301765128	0.0873064016	0.0997828085	-0.0663419191	-0.0009801067	-0.0487410118	-0.0114670446	-0.0018677728	0.0071021243	-0.0715254947	-0.0209885191	-0.1046294726	0.0220246776	-0.0591636938	0.0723268271	-0.1260129854	-0.0710487631	0.0513208908	-0.0362131982	-0.0060335569	0.0306261057	0.0227677261	-0.1142490499	-0.0660738741	0.0373925103	-0.018089548	0.0645359563	0.1164356527	-0.0336412439	-0.0497044817	0.0145354062	0.0830573928	-0.0770323645	-0.0043347086	-0.009207514	-0.0479077007	0.0423472952	-0.0656521214	-0.0727177785	-0.0694972241	0.0132228088	0.0552817095	0.0570418765	-0.0720199064	0.1022265853	-0.0368364746	-0.0335436958	-0.0160756632	-0.0060238244	-0.0286450373	0.0206197453	0.0733900654	0.0732933606	0.0731322801	0.0729069657	0.0	0.0140675	0.0965367999999999	0.00019789455625	0.0093193537542399	0.0185306	0.0339814	0.00115473554596	0.00034338313636	-1.13741	-0.01932	1.2937015081	0.0003732624	0.00225573	0.002983599	8.901862992801e-06	5.0883178329e-06	0.00482683	-8.102000000000022e-05	6.564240400000036e-09	2.32982878489e-05	-3.88233e-05	0.0	1.50724862289e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2979.401799692925	-3.936527886035037	15.496251797531478	8876835.084013442	5120.384046588028	-36.75720803779586	1351.0923427338048	26218332.784553185	3039.184225122412	1.2375959916553256	1.531643838561329	9236640.754232915	3373.1624313869024	3258.797171895488	1.179538	22.962486	0.16140115	0.10162	-0.1179917251	0.0098270645	0.0638175507	0.1662425885	0.0347784114	0.0868986749	0.0087009995	-0.0458902004	-0.1686868085	0.0437608521	-0.0538577689	0.0045333174	0.0069708052	-0.0126654675	-0.0228115542	-0.0471854045	0.047644862	0.0001746584	0.1232279176	0.0213244974	-0.0045127332	0.0190768938	0.0941344644	0.0290098884	0.0657331498	-0.0421371091	-0.0114658316	0.1120676282	-0.0014342209	-0.0852095687	0.0067048874	-0.0326909362	-0.0715403749	-0.0505724776	0.0338221916	0.0534366051	-0.0243013259	0.0554110814	-0.0558046152	0.1165896098	-0.0872656952	-0.0589981412	-0.0218121554	0.0283027097	-0.0497862665	0.0256271769	-0.0215957867	0.0025770884	0.0008665406	0.0483091877	0.0027662509	0.0117226299	0.044489789	0.1218172819	0.0094313088	-0.0197685798	-0.0047453439	0.0135787529	0.046900113	0.0588389577	0.0208719801	0.0256927696	0.0545612219	-0.0460544402	0.0259159002	0.0080681286	0.0152129249	0.0055087941	-0.0655735513	-0.0115276459	0.0406325867	0.0611498653	-0.0010819119	0.0216903367	-0.0339137275	0.0139553376	0.0455286553	-0.0171052193	0.0143051354	0.0440924587	-0.0077646616	0.0938741739	-0.1646736331	0.0795527084	0.002758706	-0.0287050058	0.0196592328	0.0175896335	-0.0634304456	0.0427313401	0.0670413632	-0.0321490278	0.0081116073	0.0450658024	0.0356466981	0.0092860731	-0.0209565986	-0.0386984829	0.0765427251	0.0045898554	-0.0973131907	0.0594069297	0.0008341203	-0.1112581318	-0.0429820611	0.142608017	0.0082863714	-0.0092601568	0.0279127399	0.0087849542	0.0505552592	-0.04318835	-0.0512695796	0.0471186718	0.0262355239	0.0269593464	0.0067599801	-0.033989391	0.0106255761	0.099086738	-0.0759261704	-0.0012413679	0.0547160246	-0.1157541841	-0.005278544	-0.0253027398	0.051745641	-0.0467854567	-0.0338752747	-0.0074413137	0.0685792427	0.1042081084	0.0330961627	-0.0254958437	0.0050449094	0.0330116801	-0.0655546325	-0.045408171	-0.0154885581	0.0733690104	0.0732091895	0.0729430793	0.0725710659	0.0	0.0365645	0.022497	0.00133696266025	0.000506115009	0.0171819	-0.0013487	1.8189916900000036e-06	0.00029521768761	-1.14745	-0.01004	1.3166415025000002	0.0001008016	0.00383686	0.00158113	2.4999720769e-06	1.47214946596e-05	0.005708	0.00088117	7.76460568900001e-07	3.258126400000001e-05	4.91857e-05	8.8009e-05	2.41923308449e-09	7.745584081e-09	0.0	0.0	0.0	0.0	0.0	0.0
2978.035440969867	-1.366358723058056	1.8669361600768413	8868695.087672591	5118.036971242805	-2.347075345222948	5.508762676153418	26194302.43900822	3034.036266406933	-5.147958715479035	26.50147893627656	9205376.065872522	3369.3613676004743	3270.9606079101563	1.059282	20.621412	0.1374160849999999	0.0695584	-0.1135001106	0.0111295206	0.0537337759	0.1637044277	0.0195887806	0.077959385	0.0431473147	-0.0473093408	-0.1787141192	0.0514364329	-0.0444174229	0.0217838251	-0.0325141313	0.0512785808	-0.0576696597	-0.0733054071	0.045182535	0.0119287856	0.0186073111	-0.0003239565	-0.0010937476	-0.0926779139	0.0982763515	-0.0257781098	0.0029080008	-0.0956016973	0.0340924353	0.0159295805	0.0490057195	0.0440706819	-0.0474378542	-0.0289713428	0.0224462658	-0.0331541722	-0.0416303056	-0.0067016895	0.0556325871	0.0298007056	-0.024682933	0.029384046	-0.038118425	-0.026014146	0.0015811999	-0.0008741182	-0.0421456973	-0.0115046103	0.001087771	-0.0226536583	0.0325276544	-0.028736564	0.0687390317	-0.0293361725	-0.0586642525	-0.0145161353	-0.0186660585	-0.0534476166	-0.0833186117	0.0386966984	-0.0708399573	-0.0145839933	0.0517730558	0.0803660097	0.0237879975	-0.1049959808	-0.082615229	0.0433467777	0.0599835922	-0.0206733771	0.0025506557	-0.0646566431	-0.0286907544	0.0220859175	0.0100623276	-0.0041608477	-0.0548104892	-0.0187521506	-0.0056646472	-0.0525872896	0.0452226003	0.0980155704	0.0135552044	0.0859480401	-0.16965224	0.08392701	0.0045495323	-0.0469653731	0.0052940195	0.0627345629	0.0107056763	0.0256413154	0.0550151651	0.0044353017	-0.0256884266	0.0151985813	0.0472077279	0.0132000966	0.0230654908	0.0729344692	0.110821321	-0.127971698	-0.0777565393	0.0385841142	0.0912191696	-0.0159765034	0.0269743168	0.0025515165	0.0268719523	0.0295451065	0.0061511334	0.0208706878	0.0269758697	0.0717295827	-0.0065594492	-0.0113086971	-0.0699652054	-0.0463220446	0.0717855531	0.0774135267	0.0111663673	0.0554768163	-0.0442330181	-0.0316893531	-0.0940195499	-0.1091864966	-0.0154351039	-0.0165955797	-0.0130173281	-0.0283607082	0.0501194898	-0.0328615592	0.0135161969	0.0100661731	0.063217852	0.0759042229	0.0043732383	0.0204243131	0.0214707018	-0.0985057097	0.0516572604	0.0733426945	0.0731040211	0.0727068072	0.0721519143	0.0	0.0303324	-0.0062321	0.0009200544897599	3.883907041000001e-05	0.0142074	-0.0029744999999999	8.847650249999999e-06	0.00020185021476	-1.18242	-0.0349699999999999	1.3981170564	0.0012229008999999	0.00430566	0.0004688	2.197734400000001e-07	1.8538708035600003e-05	0.00481087	-0.00089713	8.048422369000006e-07	2.31444701569e-05	-0.000449674	-0.0004988597	2.02206706276e-07	2.4886100028409e-07	0.0	0.0	0.0	0.0	0.0	0.0
2971.112624055967	-6.922816913900078	47.925394023381	8827510.224824734	5101.334386992873	-16.702584249931533	278.9763206260609	26023612.52791595	3032.148847673323	-1.887418733610048	3.562349475982156	9193926.63444666	3364.4316609363123	3240.2405467213453	1.034732	20.14348	0.1524591959999998	0.0797202	-0.1187924304	0.0023505732	0.0487701766	0.1704419492	0.0310426058	0.0766305736	0.0592556486	-0.0237461327	-0.1766047806	0.0547850439	-0.0560478567	0.0141543802	-0.0277082194	0.0112772146	0.0070389136	0.0250717805	0.0283095968	-0.0546605265	-0.0089884702	-0.0406126972	-0.0431167646	-0.0089964071	0.0137419538	0.006518899	0.0736717453	0.0343112612	0.0324282879	-0.1439535176	0.0130793171	-0.0623005975	-0.1393589363	-0.0037645931	-0.0477674479	-0.0349512754	0.1189341481	0.0126469996	0.0610175455	-0.017271844	0.0753210936	0.0337584082	0.0438393823	0.0049711859	-0.0331266512	-0.0250714981	-0.0258491011	0.0461073198	0.0607736594	0.0078264714	0.0568381405	0.0523051959	0.0047618835	-0.0648938282	0.0819399778	-0.020635856	-0.0878261166	0.0611371534	0.0172817883	-0.0515131325	0.0009640452	-0.0308222289	-0.0225424378	-0.13882903	0.0390703132	-0.0108657014	0.0308645101	-0.001507335	0.1044253362	-0.0475970916	-0.0100535582	0.0361898471	0.0050981389	0.0394639855	-0.065462683	0.0317851916	0.0309307905	-0.0112799241	-0.0146121373	-0.0480982311	0.0074740789	0.0020536748	0.0037171517	-0.0270966998	-0.1691068691	0.084720195	0.0115145864	-0.0440229942	-0.033303985	0.0052579004	0.0219064589	-0.0106884295	0.006556774	-0.007157533	-0.0114718035	0.0705057084	0.0321321299	-0.0641126195	-0.0734723706	0.0486540427	0.0949271649	0.0972398284	-0.0451865885	0.0065701596	0.0336868265	-0.0341667297	0.1232251997	-0.0256396993	-0.0139359164	0.0786310382	0.0318971937	-0.0547142947	0.0162852265	-0.0432110941	0.0064639046	-0.0579765988	-0.0748672889	0.012520083	-0.0251496191	-0.0364224976	-0.0327356883	-0.0222275429	0.0313656703	-0.0483766975	0.0027140027	-0.0196105359	-0.0409107662	-0.0364453677	-2.35241e-05	-0.004720358	-0.0654960016	0.0456540917	0.1216197075	0.0072746957	0.0005903929	0.028169438	0.0493376926	0.024125739	-0.0265770493	0.1226454676	-0.0265828391	0.0733111195	0.0729778853	0.0724236164	0.0716499917	0.0	0.0187495	-0.0115829	0.0003515437502499	0.00013416357241	-0.000309696	-0.014517096	0.0002107460762732	9.591161241599998e-08	-1.19833	-0.0159099999999998	1.4359947888999998	0.0002531280999999	0.00347658	-0.00082908	6.873736464000005e-07	1.20866084964e-05	0.00353983	-0.00127104	1.6155426816000004e-06	1.2530396428899998e-05	-0.000558538	-0.000108864	3.1196469744400005e-07	1.1851370496000005e-08	0.0	0.0	0.0	0.0	0.0	0.0
