participant_id	psi_id	ses	visitday	LRO_fMRILIKING	LRO_fMRIRESONANCE	LRO_fMRIOPENNESS	LRO_PREP1EEGLIKING	LRO_PREP1EEGRESONANCE	LRO_PREP1EEGOPENNESS	LRO_PREP2EEGLIKING	LRO_PREP2EEGRESONANCE	LRO_PREP2EEGOPENNESS	LRO_PREP3EEGLIKING	LRO_PREP3EEGRESONANCE	LRO_PREP3EEGOPENNESS	LRO_PREP4EEGLIKING	LRO_PREP4EEGRESONANCE	LRO_PREP4EEGOPENNESS	LRO_PREP5EEGLIKING	LRO_PREP5EEGRESONANCE	LRO_PREP5EEGOPENNESS	LRO_PREP6EEGLIKING	LRO_PREP6EEGRESONANCE	LRO_PREP6EEGOPENNESS	LRO_EEGLIKING	LRO_EEGRESONANCE	LRO_EEGOPENNESS
sub-PC001	PSI-0788	ses-02	3	51	75	65	58	77	86	53	66	82	71	85	70	66	82	55	84	73	84	86	90	74	80	81	90
sub-PC002	PSI-0557	ses-02	13	91	84	90	98	98	98	73	63	70	77	90	90	75	93	92	79	86	91	90	94	99	91	99	99
sub-PC003	PSI-0176	ses-02	13	90	79	100	75	95	100	50	73	100	75	72	100	87	90	100	76	92	100	82	82	100	81	86	100
sub-PC004	PSI-0115	ses-02	70	84	50	100	100	50	100	96	24	27	76	100	100	51	50	88	39	83	35	80	52	77	50	70	80
sub-PC005	PSI-0984	ses-02	7	NaN	NaN	NaN	80	80	80	59	53	52	100	91	91	49	25	40	96	94	92	68	69	59	82	81	84
sub-PC006	PSI-1453	ses-02	12	80	65	100	60	70	100	50	65	100	40	40	100	80	75	70	90	75	100	50	70	100	50	60	100
sub-PC007	PSI-2344	ses-02	22	50	60	35	60	40	40	60	70	71	0	0	10	40	50	40	30	30	40	40	30	50	80	80	80
sub-PC008	PSI-2203	ses-02	24	67	54	58	46	9	9	27	0	4	7	5	5	14	3	3	44	9	7	32	10	6	49	0	0
sub-PC009	PSI-2115	ses-02	17	100	100	100	100	100	100	90	90	100	90	90	90	100	100	100	100	100	100	100	100	100	100	100	100
sub-PC010	PSI-2312	ses-02	12	100	100	100	91	92	100	92	83	100	85	76	100	100	100	93	93	91	100	95	100	100	60	98	100
sub-PC011	PSI-2252	ses-02	23	80	81	84	86	90	90	81	79	80	89	100	100	83	100	100	87	84	92	90	73	58	80	100	100
sub-PC012	PSI-2231	ses-02	8	47	53	51	99	98	100	86	84	100	96	98	100	85	93	100	100	100	100	95	87	93	100	100	100
sub-PC013	PSI-2172	ses-02	7	50	50	50	75	95	98	97	93	99	99	93	98	75	83	98	81	86	95	57	51	93	100	100	100
sub-PC014	PSI-2154	ses-02	28	90	50	80	84	100	100	60	80	8	84	50	53	86	72	72	90	83	90	71	21	22	62	66	88
sub-PC015	PSI-2204	ses-02	23	49	73	100	26	21	40	36	32	33	81	79	53	47	50	40	80	81	68	77	73	61	72	99	97
