global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51
3124.6528280308544	n/a	n/a	9763455.295721216	5417.473297708283	n/a	n/a	29349016.93138226	3218.4105178904424	n/a	10358166.261667823	n/a	3476.663617779629	3954.4662787025295	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0594851	n/a	n/a	0.0035384771220099	-0.0464876	n/a	n/a	0.0021610969537599	0.0975784	n/a	0.0095215441465599	n/a	-0.00498824	n/a	2.48825382976e-05	n/a	0.00220561	n/a	n/a	4.864715472100001e-06	-0.000440633	n/a	n/a	1.9415744068900002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3105.192406006786	-19.46042202406852	378.7080253548512	9642219.878322212	5285.6332974820525	-131.8400002262306	17381.78565965248	27937919.355450995	3212.609431369442	-5.801086521000343	10320859.35852389	33.65260482413186	3457.9156417378617	3904.757562930936	1.08719	30.284973	0.1183014499999999	0.0533021	-0.0650433553	-0.0093802955	-0.0294893036	0.0622083461	-0.0469262817	0.10000891	0.067593272	-0.1595686225	0.0098603765	-0.1174282286	0.1482018709	-0.0409410057	0.0822977435	-0.0025318637	0.0860596028	-0.0756502007	0.0104720066	-0.047947301	0.0862113525	-0.0474691551	0.0891272043	-0.0198711718	-0.0042280865	0.0494473727	-0.1233055109	0.0327222197	-0.045308018	0.0001192887	-0.0854037372	0.0648650603	-0.0271876223	0.0595387999	-0.064535161	0.0216758303	0.0435078402	-0.0315165283	0.0830691657	-0.0579663776	0.0111204805	-0.1027890616	0.0688517377	-0.0160023566	0.0786286044	-0.0905968612	0.0331431889	-0.0743457518	0.057285964	-0.1161121187	0.1218420931	-0.1832582375	0.0072580959	0.0210821976	-0.0113658196	-0.0613550607	-0.0044819267	0.1232952945	0.0097814356	0.0215129162	-0.060568437	-0.0499046609	-0.053199479	-0.0116076009	0.02182648	-0.05592603	0.1182582577	-0.0057067105	0.012978351	-0.0315039293	0.0600903753	-0.1539118651	0.0628401199	-0.0073553613	0.0258817717	-0.0759974783	0.1021757466	-0.0338312241	0.0762255664	-0.0298757495	0.0011652417	-0.0622103807	0.1221379503	-0.0441100438	0.0894713381	-0.0501247717	0.0045887871	0.064870051	-0.0183800546	-0.0344796231	0.1212331473	-0.1140440005	0.0219534309	-0.042536868	0.1070155987	-0.0311748995	0.0734216517	0.0734196774	0.073416387	0.0734117805	0.0	-0.0436586	0.0158265	0.00025047810225	0.0019060733539599	-0.0249659	0.0215216999999999	0.0004631835708899	0.0006232961628099	0.117526	0.0199476	0.013812360676	0.00039790674576	-0.00481777	0.0001704699999999	2.32109077729e-05	2.9060020899999942e-08	0.00304348	0.0008378699999999	7.020261368999995e-07	9.2627705104e-06	-0.000652406	-0.000211773	4.4847803529e-08	4.25633588836e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3101.6418580736195	-3.550547933166399	12.606390625712187	9620182.215754377	5221.776959157819	-63.85633832423355	4077.6319441789774	27266954.61119148	3213.1807398565475	0.5713084871053979	10324530.46698507	0.3263933874386586	3451.9986341979607	3878.1991760880255	1.0974	30.569391	0.16960335	0.092373	-0.0633828202	-0.0113497951	-0.0052859213	0.0581373968	-0.0168296989	0.0579112434	0.0114071074	-0.0982280058	0.0180783329	-0.0732960198	0.0800556203	-0.0631732676	0.0887894857	-0.0102837639	0.0878903849	-0.08215803	0.0191016761	-0.0367288052	0.083293515	5.74243e-05	0.0789927155	0.0573077133	0.0629881009	0.0128799262	-0.1807784134	0.0031849275	-0.0300208081	-0.0011444413	-0.1155918086	0.087141058	0.0326767192	0.0505675306	-0.0260953979	-0.0268168418	0.1212441134	0.0711640009	0.0097210354	-0.0066392538	0.0287359107	0.0037182216	0.0860129578	-0.084362592	0.1711140269	-0.0407454184	-0.0617721269	0.0733655989	-0.0024998107	0.0798960499	0.0168620059	-0.0916785686	-0.0738560278	-0.0195739495	-0.0703086311	0.0241623671	-0.0997136573	0.0152585355	0.0947773807	0.0974095749	-0.0052537634	-0.0760547479	-0.0662397505	-0.0191208932	0.0179326594	-0.0509876369	0.1248787181	0.0068919349	-0.0030564262	-0.0538577725	0.0714684141	-0.118516358	0.0003761561	0.0721586205	0.0319028397	-0.0287374671	0.1057033894	-0.0590527794	0.0460604196	-0.0222300342	0.0039812102	-0.0747806918	0.1577259772	-0.0157551256	0.1572417863	0.0061247836	-0.0154871258	0.0749507745	0.1003288193	-0.057751984	0.014751858	-0.0792906717	0.0146427617	-0.059510455	-0.0219536944	-0.0232270109	0.073416387	0.0733986196	0.0733690104	0.0733275642	0.0	-0.0190759	0.0245827	0.0006043091392899	0.00036388996081	-0.0227931	0.0021727999999999	4.721059839999996e-06	0.00051952540761	0.077333	-0.040193	0.005980392889	0.001615477249	-0.00366917	0.0011486	1.3462808488899998e-05	1.3192819600000002e-06	0.00315194	0.00010846	1.176357160000007e-08	9.934725763600002e-06	0.000143631	0.000796037	6.336749053689999e-07	2.0629864161e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3098.455039575289	-3.1868184983304677	10.155812141301254	9600423.632269504	5185.277691344037	-36.49926781378235	1332.1965509422084	26887104.73635014	3214.655927208768	1.4751873522204733	10334012.730338464	2.1761777241512505	3447.910280442189	3918.4529397022766	1.097749	30.579117	0.24793765	0.122682	-0.0572672631	-0.0324153925	0.0530134818	0.0573158892	-0.0114299272	0.0271676386	0.0077883887	-0.0580351009	-0.0203919083	-0.0113876566	0.0231727542	-0.0633140923	0.0368928727	0.0284536069	0.0267792778	-0.0407977173	-0.0132693009	-0.0306295752	0.000967162	0.0811480401	0.0273718232	0.0304669162	0.0152969433	-0.0247297362	-0.1070866538	-0.0326553265	-0.0107266048	-0.0446301716	0.0353342202	0.0018686501	0.0179212603	-0.0056351376	-0.0669408316	-0.0209041013	0.0833814337	0.0282337872	-0.0185908454	0.0152290307	-0.0069988162	0.0891279343	-0.0613367167	0.0140183837	-0.0654727508	0.0245950708	-0.0708977232	0.00864312	-0.0717731155	-0.019408143	-0.0030358225	-0.0559261492	0.036843686	-0.1420645076	0.0816447047	0.0208708441	0.1364713079	-0.0581474265	-0.1790601541	0.0858113706	-0.0965696232	-0.0877516589	-0.0586686232	0.0109124798	0.0251452615	-0.0170108882	0.039655787	-0.0264461931	-0.0049708526	-0.0108241276	0.0563723159	0.001578642	-0.0431329726	0.0579163104	-0.004349182	-0.0184853659	0.0945937255	-0.0464499066	-0.0174354275	0.0643916437	9.17659e-05	0.0504274189	0.0111231969	-0.0458589224	0.1225191092	0.0327105757	-0.0634782105	0.0962163974	-0.0182897713	0.032263777	-0.0222064144	-0.0468544355	0.0350115353	-0.0750049199	0.0092725781	-0.0261056072	0.073405858	0.0733565099	0.0732742877	0.0731592282	0.0	0.0267071	0.045783	0.002096083089	0.00071326919041	-0.0332051	-0.010412	0.000108409744	0.00110257866601	0.0180001	-0.0593328999999999	0.00032400360001	0.0035203930224099	-0.00239746	0.0012717099999999	5.7478144516e-06	1.6172463240999993e-06	0.00208396	-0.00106798	1.1405812804e-06	4.342889281600001e-06	0.000452136	0.000308505	9.517533502500003e-08	2.04426962496e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3102.4622726160096	4.007233040720621	16.057916642643033	9625272.153005697	5193.287549582227	8.009858238190645	64.15782899591055	26970235.572645776	3219.2344696473406	4.57854243857264	10363470.570565594	20.963050861810697	3456.313918349689	3921.089622367067	1.119147	31.175179	0.23603925	0.116242	-0.0600867765	-0.0294220872	0.0556711254	0.0532854188	-0.0306993092	0.0006366128	0.0099873473	-0.0929798518	0.0294253916	-0.0444219612	-0.028297264	-0.0280956785	0.0053611901	0.0595197211	0.0137905013	-0.0236031878	-0.0225218601	-0.0449279336	0.0061838679	-0.0367173774	0.0047965074	-0.0925532384	0.0012533957	0.0101694733	-0.0664281716	-0.0822888036	0.0707128378	0.0193392924	0.062238678	-0.0284439436	0.0126391305	0.0039776566	-0.0537212457	0.0295851282	0.0108275661	-0.0499645882	-0.1464394096	0.0603710656	0.0534971161	-0.0352387435	-0.0247042868	0.0823433692	-0.0534039596	0.0056840874	0.0037226225	-0.0837867379	-0.0505680795	-0.0482833086	-0.0760242322	-0.0222415104	-0.0698146339	-0.1030497992	0.0236692217	-0.0599555079	0.0117416448	0.0494975844	0.0967310777	0.1545345671	-0.0049589389	-0.0212014409	-0.0368640162	0.0304475879	0.0326353373	-0.0145009409	-0.0041584508	-0.041493406	0.0188493091	0.0284295694	-0.0080285196	-0.0681227289	0.0668410456	-0.0050471086	0.0335102464	-0.038902148	0.0587807718	0.0420319007	-0.0796044546	0.0846069019	-0.0069069814	-0.0036496997	0.0330172301	0.0213903125	-0.0267462454	0.0671142956	-0.0264188341	0.0907590867	-0.0287938491	0.0765622436	-0.0367797114	0.0312343536	0.0760969569	0.0293172298	-0.0248849694	0.0083994528	0.0733900654	0.0732933606	0.0731322801	0.0729069657	0.0	-0.0606879	-0.087395	0.007637886025	0.00368302120641	-0.0278039	0.0054012	2.917296144000002e-05	0.00077305685521	0.0577796	0.0397794999999999	0.00333848217616	0.0015824086202499	-0.00276454	-0.0003670799999999	7.6426814116e-06	1.3474772639999976e-07	0.00115617	-0.00092779	8.607942841000003e-07	1.3367290689e-06	-0.000322265	-0.000774401	5.996969088010002e-07	1.0385473022500001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3099.367984947154	-3.094287668855486	9.57461617763112	9606081.906115385	5170.795153525805	-22.492396056421967	505.9078803589464	26737122.51972596	3220.457869935892	1.223400288551602	10371348.892032024	1.496708266028143	3456.526411434868	3877.497336758447	0.952457	26.531845	0.23787685	0.112407	-0.0602437483	-0.0087624383	-0.0071523453	0.0469567772	-0.0253386056	-0.0078948419	0.0161186625	-0.0099694798	0.0374208962	-0.0329351282	-0.0213248747	-0.039602994	0.0112332274	0.0376802704	-0.0073024145	-0.0295862602	-0.0107232296	-0.0440249804	0.0025455295	-0.0538277623	-0.0042675095	-0.0282985457	0.0188021505	0.0314275946	0.0037482947	-0.0525657117	0.0213022821	0.0353507081	0.0271724658	-0.0274785598	0.0013059814	0.0057685633	-0.0700981634	0.0429779874	0.0581162402	-0.0467646842	-0.0063110534	0.0659359856	-0.0214985239	0.0283575693	-0.0906059145	-0.0027903725	-0.0655763607	0.0122985945	0.014706597	-0.1497968523	-0.0251959574	0.0546099923	-0.077893047	0.0448600377	-0.0789190543	-0.0700973871	-0.0393301976	-0.0574322384	0.0579918025	-0.0474072255	0.0248998098	0.0844422447	-0.0644954007	0.0031966833	-0.0471717157	0.0155219164	0.0164682613	-0.0274177246	-0.007710513	-0.0239392971	-0.0119961252	0.0278558589	-0.0105396597	-0.0591788638	0.0426009385	0.0110709119	-0.0069185947	-0.0478936663	-0.0062968229	0.0387560289	-0.0245934844	0.049827194	-0.0103007121	0.0159759936	0.0519442348	0.0248399678	0.003035525	0.0291798407	-0.0574387703	0.0422565009	-0.0483364315	0.0914442097	0.0265716875	0.0273369772	0.0895290131	-0.000905744	5.10372e-05	-0.016657247	0.0733690104	0.0732091895	0.0729430793	0.0725710659	0.0	0.0383396	0.0990275	0.00980644575625	0.00146992492816	-0.0442765	-0.0164726	0.00027134655076	0.00196040845225	0.0181951	-0.0395845	0.0003310616640099	0.00156693264025	-0.00227258	0.0004919599999999	5.164619856400001e-06	2.4202464159999965e-07	0.00164138	0.00048521	2.3542874410000006e-07	2.6941283044e-06	-0.00100094	-0.000678675	4.605997556250002e-07	1.0018808836e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3105.621964298531	6.253979351376984	39.11225772744968	9644887.785133466	5166.127215882526	-4.6679376432794015	21.789641841544853	26688870.410682134	3228.842918169852	8.385048233959878	10425426.590215608	70.30903388583367	3461.863628364048	3808.622808128018	1.044117	29.085127	0.2924555	0.1726	-0.067301346	0.0069197237	-0.0572422069	0.0407612264	-0.0370381039	-0.0001415256	-0.0123735539	-0.0154988277	0.0669835189	-0.1112615069	0.0892139643	-0.0443418198	-0.004753672	0.0076781522	-0.0259788357	-0.0619493177	-0.0382206591	-0.0949078779	-0.0014678716	-0.0798118582	0.0301553776	-0.0523723486	-0.034303155	0.0726737098	-0.0496304018	-0.1262345992	0.0725839232	0.083148531	-0.0352935534	0.1139157534	-0.0390255687	0.0286888743	-0.043459941	-0.0010268684	-0.0388791649	-0.0050213699	0.0717768067	-0.0241896597	-0.0836653157	-0.1389413576	0.0527141122	-0.0673947135	-0.103276315	-0.0088970047	0.0557917385	-0.0763599393	-0.0310572568	0.039573981	-0.1463027501	0.0461693827	0.0109887537	-0.0354036291	-0.0148035513	0.0168954034	0.0218758939	0.0220956901	-0.061338709	0.0007656621	0.0066703076	-0.1009628365	-0.0460397135	0.0288596959	-0.0104399505	-0.0657911064	0.0062179605	-0.0880911696	-0.0077503982	0.0433599513	0.0110741749	-0.0869972897	0.0473305049	-0.040617055	-0.0440435371	-0.1122889635	0.0300913482	0.0078955977	-0.0709262082	-0.1051949292	0.0281114949	-0.059330209	0.0303875201	0.0177571049	0.0131680972	-0.0794099636	-0.0471175804	0.0558705229	-0.0560359359	0.0142435513	0.127530433	0.0252874877	-0.0163039835	0.0500668457	0.0721938419	0.1158244441	0.0733426945	0.0731040211	0.0727068072	0.0721519143	0.0	0.0219412	-0.0163984	0.00026890752256	0.00048141625744	-0.0635997	-0.0193231999999999	0.0003733860582399	0.0040449218400899	0.152663	0.1344679	0.0233059915689999	0.01808161613041	-0.00315328	-0.0008806999999999	9.9431747584e-06	7.756324899999998e-07	0.00165974	1.8360000000000038e-05	3.3708960000000124e-10	2.7547368676e-06	-0.0025472	-0.0015462599999999	2.3909199876e-06	6.488227839999999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3101.2315541681	-4.390410130431064	19.275701113391715	9617637.15256789	5163.335075938104	-2.7921399444221606	7.796045469237786	26660029.106412742	3223.733797213217	-5.109120956635252	10392459.595294746	26.10311694952951	3457.72939345783	3862.7522122286337	1.046983	29.164968	0.2032557	0.114012	-0.069669514	-0.009861338	0.0153025202	0.0482340044	-0.0310840755	-0.0262266153	-0.0281879377	-0.073454238	0.0157744793	-0.124548343	0.1148518113	-0.0477124929	0.0015581802	0.0278993532	-0.0262259231	-0.0716767409	-0.0116621568	-0.0946403652	0.0014379213	-0.0721040048	0.0912249767	-0.0894760267	-0.0804907719	0.1201644791	-0.1142497035	-0.137206833	0.1192158665	-0.0012309562	0.0372012813	0.1450253009	0.0208792853	-0.0444548861	-0.0433990378	0.0600627189	0.0991530547	-0.1015824875	0.0619993938	0.0036725734	-0.028936155	-0.1002511677	0.004104219	-0.0847997331	0.0364444877	0.0477408434	0.0403121171	0.026755722	0.0908016252	0.0464531702	0.0107795764	0.0002716756	0.1208996119	0.032474187	0.0193827107	0.1100552135	0.0118400296	-0.0460533392	-0.1132715374	-0.0227732364	0.0288027132	0.0088131251	-0.0516533215	0.025739143	-0.0018694313	-0.0724246059	0.0048200111	-0.0974748756	-0.0284508555	0.022793975	0.0394533452	-0.1160416074	0.0342182787	-0.068800938	0.0249386759	-0.1326962447	0.084663192	0.0151179811	-0.1285681216	-0.0263073624	0.1206343178	-0.0548558049	0.058799042	-0.0250757874	0.0318592769	-0.0037880255	-0.0875194501	0.0266381184	-0.0528135242	0.058211277	0.1438798162	-0.0639212271	-0.1151814018	-0.0475752219	-0.0171713332	0.085315513	0.0733111195	0.0729778853	0.0724236164	0.0716499917	0.0	0.0383465	0.0164052999999999	0.0002691338680899	0.0014704540622499	-0.0426313	0.0209683999999999	0.0004396737985599	0.0018174277396899	0.212562	0.059899	0.045182603844	0.003587890201	-0.00481174	-0.00165846	2.31528418276e-05	2.7504895716e-06	0.00184953	0.00018979	3.60202441e-08	3.4207612209000003e-06	-0.00227579	0.0002714099999999	7.366338809999984e-08	5.179220124100001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3097.6446063392123	-3.586947828887787	12.86619472716281	9595402.107182411	5162.3868709844055	-0.9482049536982232	0.8990926342178495	26650238.20571216	3223.682196321056	-0.0516008921608772	10392126.902877348	0.0026626520717984	3455.293486924747	3931.170647685313	0.998265	27.807858	0.1518897	0.0744516	-0.0654505613	-0.0264042129	0.0753520252	0.0493337532	-0.0278112014	-0.0225185976	-0.0481649491	-0.096249406	0.0456322977	-0.0857600921	0.0463374524	-0.0520369718	-0.0024471203	0.0173503598	-0.0276501569	-0.0513664007	-0.0260720415	-0.1180180334	0.015246187	-0.0576622686	0.0583340374	-0.0397976339	-0.0801044131	0.0648200702	-0.0558985946	-0.0777664639	0.0488388291	0.006968161	0.000724153	0.0726413873	-0.0068289126	-0.0530335635	0.0056957521	0.1566619114	0.1024915699	-0.0100039719	0.0537182134	0.0050092897	-0.0470020211	-0.0198225125	0.0745144869	-0.0586891817	-0.0610779813	0.0099303367	0.0330628935	-0.0989864452	-0.006155788	0.0600000531	0.0214996939	-0.0545055899	0.0438960464	-0.0195923072	-0.0707962092	0.0699292227	-0.007345828	-0.0285541346	0.0357535903	-0.0061144121	0.097029924	0.0371328683	-0.0516107676	0.0282208074	-0.0112670121	-0.0606696733	0.0044600998	-0.112431813	-0.032768153	0.0134636757	0.026430109	-0.1080579777	0.0122033875	-0.0725972421	0.0318260978	-0.0652325941	0.0321515472	0.0324750001	-0.0995101068	0.0321065392	0.0683555779	-0.0742642446	0.0411903568	0.0062245902	0.0809414325	0.009508057	-0.0908478321	-0.0306549253	-0.0175433171	0.0999188284	0.1153084529	-0.0495005944	-0.0620615773	0.013966008	0.0719776466	0.0033121722	0.0732742877	0.0728308183	0.0720936897	0.0710658739	0.0	0.0729158	0.0345693	0.00119503650249	0.00531671388964	-0.0185109	0.0241203999999999	0.0005817936961599	0.00034265341881	0.196054	-0.0165079999999999	0.038437170916	0.0002725140639999	-0.00397337	0.0008383699999999	1.5787669156900002e-05	7.028642568999995e-07	0.00138273	-0.0004668	2.179022400000001e-07	1.9119422529e-06	-0.00204712	0.00022867	5.2289968900000124e-08	4.190700294399999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
