global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68	motion_outlier69	motion_outlier70	motion_outlier71	motion_outlier72	motion_outlier73	motion_outlier74	motion_outlier75	motion_outlier76	motion_outlier77	motion_outlier78	motion_outlier79	motion_outlier80	motion_outlier81	motion_outlier82	motion_outlier83	motion_outlier84	motion_outlier85	motion_outlier86	motion_outlier87	motion_outlier88	motion_outlier89	motion_outlier90	motion_outlier91	motion_outlier92	motion_outlier93	motion_outlier94	motion_outlier95	motion_outlier96	motion_outlier97	motion_outlier98	motion_outlier99	motion_outlier100	motion_outlier101	motion_outlier102	motion_outlier103	motion_outlier104	motion_outlier105	motion_outlier106	motion_outlier107	motion_outlier108	motion_outlier109	motion_outlier110	motion_outlier111	motion_outlier112	motion_outlier113	motion_outlier114	motion_outlier115	motion_outlier116	motion_outlier117	motion_outlier118	motion_outlier119	motion_outlier120	motion_outlier121	motion_outlier122	motion_outlier123	motion_outlier124	motion_outlier125	motion_outlier126	motion_outlier127	motion_outlier128	motion_outlier129	motion_outlier130	motion_outlier131	motion_outlier132	motion_outlier133	motion_outlier134	motion_outlier135	motion_outlier136	motion_outlier137	motion_outlier138	motion_outlier139	motion_outlier140	motion_outlier141	motion_outlier142	motion_outlier143	motion_outlier144	motion_outlier145	motion_outlier146	motion_outlier147	motion_outlier148	motion_outlier149	motion_outlier150	motion_outlier151	motion_outlier152	motion_outlier153	motion_outlier154	motion_outlier155	motion_outlier156	motion_outlier157	motion_outlier158	motion_outlier159	motion_outlier160	motion_outlier161	motion_outlier162	motion_outlier163	motion_outlier164	motion_outlier165	motion_outlier166	motion_outlier167	motion_outlier168	motion_outlier169	motion_outlier170	motion_outlier171	motion_outlier172	motion_outlier173	motion_outlier174	motion_outlier175	motion_outlier176	motion_outlier177	motion_outlier178	motion_outlier179	motion_outlier180	motion_outlier181	motion_outlier182	motion_outlier183	motion_outlier184	motion_outlier185	motion_outlier186	motion_outlier187	motion_outlier188	motion_outlier189	motion_outlier190	motion_outlier191	motion_outlier192	motion_outlier193	motion_outlier194	motion_outlier195	motion_outlier196	motion_outlier197	motion_outlier198	motion_outlier199	motion_outlier200	motion_outlier201	motion_outlier202	motion_outlier203	motion_outlier204	motion_outlier205	motion_outlier206	motion_outlier207	motion_outlier208	motion_outlier209	motion_outlier210	motion_outlier211	motion_outlier212	motion_outlier213	motion_outlier214	motion_outlier215	motion_outlier216	motion_outlier217	motion_outlier218	motion_outlier219	motion_outlier220	motion_outlier221	motion_outlier222	motion_outlier223	motion_outlier224	motion_outlier225	motion_outlier226	motion_outlier227	motion_outlier228	motion_outlier229	motion_outlier230	motion_outlier231	motion_outlier232	motion_outlier233	motion_outlier234	motion_outlier235	motion_outlier236
3191.479973383029	n/a	10185544.42050494	n/a	5973.993031151967	n/a	35688592.73625227	n/a	3099.3231002419147	n/a	n/a	9605803.679693151	3295.207628497355	3695.4964801869496	n/a	n/a	n/a	n/a	-0.0543892566	0.029790082	0.0623188054	-0.1508897819	0.0890668081	-0.0238377136	0.0704314227	-0.1438837871	0.2046841405	0.0595662595	0.2523188203	-0.0105488171	-0.0636203398	0.027940275	0.0639992902	-0.0349756304	0.1052522603	-0.0095673032	0.0183362459	-0.0645720877	0.0018636876	-0.0485883917	0.0548831374	0.0426891607	-0.0914898884	0.0310951605	-0.0292717032	0.0722573499	-0.0398200456	0.0044020949	-0.0618777717	0.0010279194	-0.0202773312	0.002832902	-0.0072647659	0.0188469009	-0.0111025354	0.0038552004	0.0024636668	0.0041604208	-0.0463335273	0.0299727157	-0.0710249866	0.0122873886	0.0708731314	-0.0446055274	0.0373177133	-0.0838334887	0.0496278592	-0.0589326723	0.0483126392	-0.0272206982	0.0019195352	-0.0447961403	0.0286012558	-0.0522548805	0.0519123188	-0.0004518923	0.0679896667	-0.0353634952	0.0672931953	-0.0192799946	0.0116832067	-0.0469329993	0.0416157088	-0.0040836504	0.0043441853	0.0733229038	0.0733209428	0.0733176744	0.0733130988	-0.121573	n/a	n/a	0.014779994329	0.0264999	n/a	0.00070224470001	n/a	0.180577	n/a	n/a	0.0326080529289999	0.00584742	n/a	n/a	3.41923206564e-05	-0.00259125	n/a	n/a	6.714576562499999e-06	-0.00181532	n/a	3.2953867024e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3163.13702049765	-28.342952885378963	10005435.810442751	803.3229782628117	5833.580198781371	-140.41283237059633	34030657.9356141	19715.763494333187	3076.6399937613323	-22.68310648058241	514.5233196094397	9465713.651211731	3263.6431936421213	3697.064972897793	1.486852	69.267151	0.62592213	0.428244	-0.0556036218	0.0192297779	-0.0145406885	-0.11603915	0.057830811	-0.0199172238	-0.0237998382	-0.0970857202	-0.0133106854	0.0924952725	0.1056240637	0.0128670045	-0.0670499151	0.0352627127	0.0377181829	-0.0029573861	-0.0169491775	-0.0073371478	-0.0204767575	-0.0344277941	0.0346529631	-0.015434212	-0.0218778857	-0.0254999395	0.0207527139	-0.0171993482	-0.0316996522	-0.0203946736	-0.0850983646	-0.087533106	-0.053383908	-0.0285377468	0.0203331203	0.0231373111	-0.0175905557	-0.0329253383	0.0138645113	-0.0242267942	0.0342690617	-0.039474252	0.011606404	-0.0282491981	-0.0671374492	-0.0017695859	0.0568118722	0.007940371	-0.0137677836	0.0180781114	0.0163235968	-0.0323885158	-0.0236730809	0.0401704439	-0.0058423993	-0.0013812415	-0.0314398803	0.0360351603	-0.0058029901	0.0359088982	0.0032768803	0.0262341029	0.0916324453	0.0474937578	0.032821017	0.0023303626	0.0370478952	-0.0173636174	0.0007828803	0.0733176744	0.0733000262	0.0732706155	0.0732294473	-0.122201	-0.000628	3.943840000000045e-07	0.014933084401	0.0474557	0.0209558	0.00225204346249	0.00043914555364	0.141336	-0.039241	0.001539856081	0.0199758648959999	-0.00215498	-0.0080024	6.403840576e-05	4.643938800399999e-06	-8.12534e-05	0.0025099966	6.300082932011559e-06	6.602115011560001e-09	-0.00260487	-0.00078955	6.7853477169e-06	6.233892025e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3136.859257673675	-26.27776282397508	9839886.00245304	690.5208190330868	5798.37079163776	-35.209407143611315	33621103.8373179	1239.7023514045875	3061.227669733385	-15.412324027947308	237.53973194244188	9371114.84594129	3243.55071958954	3780.6556746137903	1.498027	69.787758	2.16000467	1.45147	-0.0676345176	0.0206458074	-0.0541612789	-0.0853201193	0.0620872557	0.0051814161	-0.1567337126	-0.0529939747	-0.0942236764	0.1609346764	0.1473779989	-0.0551941228	-0.0487315747	0.0435896367	0.0232164862	0.0509523822	-0.1498659754	0.0097029203	-0.0605615924	0.0140884728	0.088282201	-0.0485986599	-0.1208396596	-0.189624264	0.1813667543	-0.0789812331	0.0504102722	0.0183411596	-0.1512685559	-0.0089385042	0.0564430748	0.0905909935	-0.1369862657	-0.1382630018	0.0549972709	-0.0185419617	0.122626299	-0.0663093545	0.0306778031	0.0640215934	0.0050790684	0.0339785531	-0.0424877611	-0.0121887264	0.0430959265	0.0795210423	-0.0472070979	0.1239694877	-0.0163549641	0.0361322955	-0.1250992719	0.2523545484	-0.0467594854	0.0764380856	-0.1398329874	0.0092805809	-0.0797787758	-0.0263003023	0.0116841036	0.1939020741	0.0699591843	-0.0663347855	0.024592231	-0.1081416055	-0.0173057505	0.0011734056	0.1622288587	0.073307216	0.0732581989	0.0731765279	0.0730622395	-0.123397	-0.001196	1.4304160000000065e-06	0.015226819609	0.0506727	0.0032169999999999	0.00256772252529	1.0349088999999984e-05	-0.0955695	-0.2369055	0.0561242159302499	0.00913352933025	-0.0285688	-0.0264138199999999	0.0006976898869923	0.00081617633344	0.010915	0.0109962534	0.000120917588837	0.0001191372249999	-0.00356852	-0.0009636499999999	1.27343349904e-05	9.286213225e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3124.4837405408043	-12.375517132870756	9762398.644903855	153.15342430597758	5703.162331363869	-95.20846027389052	32526060.57788777	9064.65090772499	3057.779040736937	-3.448628996447951	11.893041955141602	9350012.661970103	3238.388410987089	3720.47530192923	0.720534	33.56712	0.173069	0.118142	-0.0620847139	0.0157802487	-0.0531389651	-0.0501559112	0.0302003147	0.0178988992	-0.1158591759	-0.0070768511	-0.1374813913	0.103419589	0.05725606	0.0042577542	-0.0428167533	0.0477815876	0.0172973097	0.0642278866	-0.1404047024	0.0065158907	-0.0583031203	0.0307732582	0.0696017412	-0.0654661709	-0.0951035911	-0.1280438783	0.1576632498	-0.0706714416	0.0114302724	-0.0065135428	-0.0942047802	-0.0354854534	0.0123119871	0.1075366133	-0.1357128569	-0.1698126777	0.0501160653	-0.0830674022	0.1245072566	-0.0065611233	0.0536191304	0.0175721768	-0.0406048503	-0.016811792	-0.0364863363	-0.0192312942	0.0382974979	0.0819992939	-0.0387276724	0.111575195	-0.0274461465	0.0502663042	-0.1190212654	0.1997585587	-0.0519180012	0.038381742	-0.1214178768	-0.0103419637	-0.0674032371	-0.0232185641	-0.0399913455	0.1909508953	0.0405285456	-0.0397888982	0.0125548866	-0.1260223663	0.0337176813	-0.014502402	0.1505368782	0.0732915294	0.0731954729	0.073035472	0.0728116665	-0.123399	-1.9999999999881224e-06	3.9999999999524895e-12	0.0152273132009999	0.0446915	-0.0059811999999999	0.00199733017225	3.5774753439999985e-05	-0.0939197	0.0016498	2.7218400400000224e-06	0.0088209100480899	-0.0264265	0.0021422999999999	4.589449289999999e-06	0.0006983599022499	0.0102323	-0.0006826999999999	4.660792899999995e-07	0.00010469996329	-0.00405224	-0.00048372	1.6420649017600004e-05	2.339850384000004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3132.675739533756	8.19199899295154	9813657.289063364	67.10884750051903	5715.954315539032	12.791984175162725	32672133.73732929	163.63485913761355	3069.081013057837	11.30197232089995	127.7345783423886	9419258.26471212	3249.6414865064726	3726.376394231269	0.824736	38.421532	0.6954750000000001	0.360284	-0.0612542968	0.0121947368	-0.0514969839	-0.0703270772	0.0278969909	0.0103927039	-0.1184453428	0.017958453	-0.1262568554	0.128499722	0.0563025031	-0.0025134216	-0.0585708909	0.0439594444	0.0408887438	0.0374968743	-0.114903475	-0.0179791819	-0.0260645399	0.0049025623	0.051814903	-0.0256817478	-0.1278454094	-0.1582222485	0.1428153977	-0.0178332716	0.0035734633	-0.0148329821	-0.0990779106	-0.0182634434	0.035788438	0.1147852051	-0.1066632932	-0.1257304127	0.0646841274	-0.0285681779	0.0587156932	-0.0549683596	0.0401205953	-0.0204428837	0.0132393907	-0.006486239	-0.0542766569	-0.0032651135	0.0585866079	0.06289503	-0.0309548232	0.1009933311	0.0107234158	0.0446306493	-0.0898943116	0.2032408946	-0.0232765683	0.07978629	-0.1085650541	0.0308450709	-0.0204267129	-0.0042153187	-0.0230201506	0.1573285123	0.0465181882	-0.0161738821	-0.0187188959	-0.108134275	-0.0008232343	0.0107360792	0.1033442646	0.0732706155	0.0731118661	0.0728475383	0.072478014	-0.207241	-0.083842	0.007029480964	0.042948832081	0.0577718	0.0130802999999999	0.00333758087524	0.0001710942480899	0.014977	0.1088967	0.01185849127089	0.000224310529	-0.0202834	0.0061430999999999	3.773767760999998e-05	0.00041141631556	0.00741888	-0.0028134199999999	7.915332096399998e-06	5.50397804544e-05	-0.00488884	-0.0008365999999999	2.3900756545600003e-05	6.998995599999997e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3123.6718617665774	-9.003877767178437	9757325.899992276	81.06981484629016	5686.350280997376	-29.60403454165589	32334579.518198937	876.3988611435552	3066.567496426788	-2.5135166310492423	6.317765854561133	9403836.210141256	3247.3705984000903	3731.419412710312	0.850681	39.630211	0.5509426999999999	0.34138	-0.0610775541	0.0096537809	-0.0469222174	-0.0511539389	-0.0153284205	0.0152762757	-0.0913940391	0.0286241394	-0.1131317788	0.0953506243	0.022367865	-0.03078459	-0.0548125015	0.0393515801	0.0308581747	0.0317340175	-0.1194629296	-0.0091192249	-0.0508991825	0.0036710769	0.0811690436	-0.0497560008	-0.0851788004	-0.1089320395	0.1554249154	-0.0164248554	0.001002196	-0.015685022	-0.0501248898	-0.0099284295	-0.0546347719	0.1137965916	-0.0955952014	-0.0961298454	0.0342131908	-0.0214261233	0.0049300989	-0.0389802751	-0.0282566736	0.0106349703	0.0115079379	-0.0021625558	-0.0534392223	-0.0090822517	0.0433069384	0.0562638489	-0.0307076523	0.1138589298	-0.0026779464	0.0235456743	-0.0966964128	0.1652598568	-0.0145869924	0.0234807467	-0.1178094248	0.019704772	-0.021694286	-0.0080014541	-0.0655804195	0.0614424488	0.0058322641	-0.0259449365	0.0340258565	-0.1261414871	0.0352395377	-0.0145516992	0.0470679447	0.073244476	0.0730074022	0.0726128475	0.0720616628	-0.159973	0.047268	0.002234263824	0.025591360729	-0.0146314	-0.0724032	0.0002140778659599	0.00524222337024	-0.184383	-0.1993599999999999	0.0397444095999999	0.033997090689	-0.0158558	0.0044276	1.960364176e-05	0.00025140639364	0.0072927499999999	-0.0001261300000001	1.5908776900025253e-08	5.318420256249855e-05	-0.00497334	-8.44999999999995e-05	2.47341107556e-05	7.1402499999999165e-09	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
