global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49
3433.410932357649	n/a	n/a	11788310.63043302	5366.996386014498	n/a	28804650.207492683	n/a	3424.6355294416603	n/a	11728128.50951416	n/a	3559.205105097607	4479.247019684879	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0453294	n/a	n/a	0.0020547545043599	0.0138159	n/a	0.00019087909281	n/a	0.110335	n/a	n/a	0.012173812225	-0.000845135	n/a	7.14253168225e-07	n/a	-0.000232313	n/a	n/a	5.3969329969e-08	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3423.9775980664795	-9.433334291169558	88.98779584895547	11723622.5920611	5293.0568442711465	-73.93954174335158	28016450.75668563	5467.055833216831	3421.6698546532243	-2.96567478843599	11707824.594242616	8.795226950764855	3554.0087489889124	4370.102042690231	1.059351	27.876637	0.1127821	0.0588015	-0.0017262241	-0.001622809	0.0294515654	-0.0338404495	0.0294954129	-0.0823030083	0.0335193307	0.0396757035	0.0244418132	0.0192878015	-5.77656e-05	-0.0056699658	0.0041489717	-0.0103460096	0.0053363814	-0.0069221443	0.0057937744	-0.0011248997	0.0079780626	-0.0012641013	0.0010016088	-0.0051785752	-0.0004702914	-0.0030383498	0.0081097611	0.0133494722	-0.0071616987	0.0112014453	-0.0060277906	0.0013845204	-0.0038713703	0.0046139955	-0.0091825458	0.0020575008	0.0703592226	0.0703576272	0.0703549681	0.0703512454	0.0	-0.0722931	-0.0269637	0.00072704111769	0.0052262923076099	0.0244774	0.0106614999999999	0.00059914311076	0.0001136675822499	0.1553	0.0449649999999999	0.0020218512249999	0.02411809	-0.00119174	-0.0003466049999999	1.4202442275999998e-06	1.2013502602499996e-07	-0.000489546	-0.000257233	6.6168816289e-08	2.39655286116e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3421.4685477236285	-2.509050342850969	6.295333622960566	11706447.023062035	5244.874759380634	-48.18208489051267	27508711.24158806	2321.5133043965693	3423.8772613479223	2.2074066946979656	11722935.500775348	4.872644315797397	3553.53310139974	4339.142917209201	0.906766	23.861387	0.0928607	0.065934	0.0026238002	0.0049097165	-0.0139451173	-0.0255749525	0.0104745972	-0.0602351124	0.0386796479	0.0425451878	0.0812901881	-0.0223942092	0.0044155646	0.004302405	0.0037773428	-0.003434696	-0.0028480292	-0.0094390835	0.0055145005	-0.000919379	-0.0022083573	-0.0050438567	0.0105967621	0.0112120628	-0.0030829973	0.0055863419	0.0034998394	0.0045865241	0.0041089412	0.0138629992	-0.0033055767	-0.0022170559	-0.0055251383	-0.0058087055	0.0061254154	-0.0107574994	0.0703549681	0.0703406095	0.0703166808	0.0702831851	0.0	-0.0385012	0.0337919	0.00114189250561	0.00148234240144	0.0269857	0.0025083	0.00072822800449	6.291568890000007e-06	0.0987395	-0.0565605	0.00319909016025	0.0097494888602499	-0.00119174	0.0	1.4202442275999998e-06	0.0	-0.000489546	0.0	0.0	2.39655286116e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3416.641275886836	-4.827271836792534	23.30255338629036	11673437.608093629	5196.294265160193	-48.580494220440414	27001474.090136714	2360.0644187022444	3417.9017644238725	-5.975496924049821	11682052.47125182	35.70656348932887	3548.265387641059	4319.103920780261	0.911836	23.99481	0.0749806	0.0509494	0.0011749432	0.0054447496	-0.0497773903	-0.0154545931	0.0037946004	-0.0383497215	0.0422962205	0.0208348614	0.0500952261	-0.0502537859	-0.0039661684	-0.0044219191	-0.0041962711	0.0085692824	0.0057534928	-0.0031013616	0.0117366839	0.0056534302	-0.003535937	-0.0019880977	0.0079722641	-0.0008926336	0.0031167552	-0.0031043835	-0.0039378989	-0.005120222	0.0030038012	0.007682277	-0.0097697109	-0.0092162335	0.0034724641	-0.0068885381	0.0003670203	-0.0027690041	0.0703464592	0.0703065784	0.070240127	0.0701471304	0.0	0.0034442	0.0419454	0.00175941658116	1.1862513640000002e-05	0.0225254	-0.0044603	0.00050739364516	1.9894276090000003e-05	0.0701646	-0.0285749	0.00081652491001	0.0049230710931599	-0.00119174	0.0	1.4202442275999998e-06	0.0	-0.000489546	0.0	0.0	2.39655286116e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3414.9279823367046	-1.7132935501313111	2.9353747889215525	11661733.124546235	5174.169575617863	-22.12468954233009	26772030.79724954	489.5018873444904	3415.5928288400623	-2.308935583810125	11666274.37242366	5.331183530184605	3544.519010139234	4349.135170847407	0.83353	21.934185	0.0553497	0.0288909	0.0018036695	-0.0001138192	-0.0542968705	-0.007341295	0.0148045469	-0.0319285296	0.0421505765	0.0033680637	0.0083466768	-0.0614847553	-0.0017382743	-0.000798203	-0.0015482235	-0.0040603859	-0.0050847267	-0.0047947002	-0.0007978291	-0.0029582706	-0.0067518749	0.0086983075	0.0067284298	0.0045372332	0.0016839937	0.0004680561	6.02759e-05	0.0054229874	0.0049870637	0.0025327531	0.0034707627	0.0007349385	0.0140020987	-0.0003980134	0.0022359776	0.0005736426	0.0703336965	0.0702555419	0.0701253485	0.0699432128	0.0	-0.0111527	-0.0145969	0.0002130694896099	0.00012438271729	0.0269565	0.0044311	0.00072665289225	1.963464721e-05	0.0773092999999999	0.0071446999999999	5.104673808999866e-05	0.0059767278664899	-0.00161519	-0.00042345	2.6088387361e-06	1.793099025000001e-07	-0.000329456	0.00016009	2.56288081e-08	1.08541255936e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3414.6344648908253	-0.2935174458793881	0.0861524910355595	11659728.528820252	5184.705666762132	10.53609114426854	26881172.850955363	111.00921660033394	3417.7601425471	2.167313707037465	11681084.391983572	4.697248704712479	3548.084669479216	4355.261764442435	0.921187	24.240881	0.1382815	0.0709676	-0.0036470033	-0.0016591073	0.0009559461	-0.0116953679	0.012769356	-0.0490779181	0.0284108909	-0.0069131185	-0.061389151	-0.0270169833	-0.0025912467	0.0004955052	0.0054820397	-0.0060210393	-0.0080444482	-0.0027244341	0.0011806704	-0.0034686556	-0.0034645255	0.0046017458	3.79315e-05	-0.0123907453	0.0016787149	0.0011408673	0.0060214232	0.009942155	0.0063128502	0.0020388369	-0.0012955271	0.0019779199	0.0104392868	0.0039008756	-0.0110837694	0.0162679577	0.0703166808	0.0701875125	0.0699724077	0.0696716297	0.0	-0.0544944	-0.0433417	0.0018785029588899	0.00296963963136	0.0424345	0.0154779999999999	0.00180068679025	0.0002395684839999	0.127683	0.0503737	0.00253750965169	0.0163029484889999	-0.00118592	0.00042927	1.4064062464e-06	1.8427273290000007e-07	-0.000481948	-0.000152492	2.3253810064e-08	2.32273874704e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3416.9573291505294	2.322864259704147	5.395698369010895	11675597.38923552	5188.212354806753	3.5066880446211144	26917547.438569438	12.296861042288654	3418.663555197204	0.903412650104201	11687260.503633589	0.8161544163682956	3549.45983085247	4378.186282251272	0.969494	25.51207	0.0614598499999999	0.0293036	-0.0029574345	-0.0085921676	0.0673883223	-0.0192653522	0.0064780576	-0.0447425264	0.0048526939	-0.0198137326	-0.0606730305	0.0169083923	0.0022177938	-8.25671e-05	0.0020738656	-0.0022302528	0.0021773285	-0.0029308852	0.0031254333	-0.0006271377	0.0134238437	0.0100490827	0.0005278838	-0.0206728247	-0.0036106306	-0.0004190408	0.0023800446	0.0063946299	-0.0015238222	0.0036864413	-0.0094714998	0.00540191	0.0076652665	0.0104352472	-0.028135206	0.0176136	0.0702954131	0.0701025065	0.0697813877	0.0693326439	0.0	-0.0716113	-0.0171169	0.00029298826561	0.00512817828769	0.0389325	-0.0035019999999999	0.00151573955625	1.2264003999999987e-05	0.1116	-0.0160829999999999	0.0002586628889999	0.01245456	-0.00151556	-0.0003296399999999	2.2969221136e-06	1.086625296e-07	-0.000647467	-0.0001655189999999	2.7396539360999995e-08	4.19213516089e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3421.4879564682165	4.530627317687049	20.526583891772145	11706579.836257052	5176.962558452899	-11.249796353853526	26800941.33162319	126.55791800317608	3421.4715077548813	2.807952557677254	11706467.27837846	7.884597566166232	3549.937406135328	4328.379623396299	1.045061	27.50058	0.16572655	0.0867968999999999	-0.004147283	-0.0005956423	0.0419813968	-0.0112030002	-0.0193154233	-0.0212113197	-0.008233878	0.0194093132	0.0104979602	0.0549375635	-0.0033469533	0.0020334075	-0.0020687289	-0.0068466986	-0.0039327144	-0.0019826847	-0.0034529123	-0.0107036426	0.0046389482	-0.0158594532	0.0103174649	0.0102298304	0.0026164062	0.0010872765	0.0004870589	0.0105777726	0.00061676	0.0021555861	-0.0050582899	0.0072952519	-0.0088912414	-0.0075050384	0.0001613767	-0.01009076	0.0702698946	0.0700005447	0.0695523926	0.0689265831	0.0	-0.0109687	0.0606426	0.00367752493476	0.0001203123796899	0.0175451	-0.0213874	0.00030783053401	0.00045742087876	0.0612039	-0.0503961	0.00253976689521	0.00374591737521	-0.00101507	0.0005004899999999	1.0303671049000005e-06	2.504902400999999e-07	-0.000481948	0.0001655189999999	2.7396539360999995e-08	2.32273874704e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3423.9850095253505	2.497053057134053	6.235273970142521	11723673.345454317	5181.336282583384	4.373724130484334	26846245.673215	19.12946276958094	3418.9457843451564	-2.525723409724833	11689190.276291518	6.379278742432036	3547.7386987859554	4309.333504084051	1.009748	26.571333	0.105416199	0.0581873	0.0027329289	0.0061197376	-0.0310750572	-0.0125898151	-0.0129825553	-0.0377824847	-0.0029780936	0.0157703017	0.0793202996	-0.0149605252	-0.0019770593	0.0040218673	-0.0082755017	-0.0021001472	-0.0050951193	-0.0066862231	0.0077014466	-0.005037674	0.0069240281	-0.0118683339	0.0087924985	0.0055056869	0.0020705044	0.0041565419	-0.0072227899	0.0035583371	0.0044951783	0.0064409602	-0.0089278298	-0.002544988	-0.0092642899	-0.006991154	0.0045702615	-0.0137674752	0.070240127	0.0698816516	0.069285547	0.0684538403	0.0	0.0227366	0.0337053	0.00113604724809	0.00051695297956	-0.000636549	-0.018181649	4.051946294010001e-07	0.0003305723603592	0.019985	-0.0412189	0.00169899771721	0.0003994002249999	-0.0007688629999999	0.0002462070000001	5.911503127688462e-07	6.06178868490493e-08	-0.000481948	0.0	0.0	2.32273874704e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3426.346586367831	2.3615768424806447	5.577045182940852	11739850.92991449	5191.7046285776	10.368345994215815	26953796.95039407	107.50259865577114	3420.262007951376	1.3162236062194097	11698192.203035578	1.7324445815692278	3548.787053117848	4322.996833692158	0.976054	25.684679	0.079449161	0.0456947	0.0033899606	0.0048374173	-0.0541592366	-0.0374936753	-0.0057644828	-0.0604642655	0.0258398702	0.0008164021	0.0298026239	-0.0342653832	-0.000383943	0.0008650911	-0.0020277305	-0.0001118453	0.0020724201	-0.0015948326	-0.0026025458	-0.0106135853	0.0054270342	-0.0039450296	0.0064979848	0.0008660909	-0.0005204061	-0.0010494068	-0.000833245	-0.0011584139	0.0003379703	0.0015455272	-0.0018075919	0.0090127678	-0.0025493848	-0.0008878609	-0.0028911253	-0.0010294678	0.0702061121	0.0697458559	0.0689809961	0.0679148729	0.0	-0.017118	-0.0398546	0.00158838914116	0.000293025924	-0.00433266	-0.003696111	1.87719426756e-05	1.3661236524321e-05	0.0341118	0.0141267999999999	0.0001995664782399	0.0011636148992399	-0.000545927	0.0002229359999999	2.98036289329e-07	4.9700460095955415e-08	-0.000481948	0.0	0.0	2.32273874704e-07	-0.000212497	-0.000212497	4.5154975009e-08	4.5154975009e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
