global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68
3376.273100482722	n/a	n/a	11399220.049043212	6892.9280234724665	n/a	n/a	47512456.736772045	3271.2126049690423	n/a	n/a	10700831.906908348	3771.6942060718793	3916.9392425567353	n/a	n/a	n/a	n/a	-0.0341845654	-0.0194897077	-0.1092077611	-0.0447013521	-0.2402327802	0.0524576627	-0.0948095223	0.2039482812	-0.3045717967	-0.0004026591	0.0108771076	0.0243405086	0.1811322305	-0.1044894407	0.0575892852	-0.0243895277	0.0409531724	-0.0084162977	0.0087381292	-0.0705760934	0.0210842113	-0.0495451731	0.0070405022	-0.0017092221	0.0250880855	-0.0576789864	0.0541470096	-0.0559895389	0.0261954291	-0.0015159948	0.0264018472	0.0167239127	0.0323730886	-0.0309972488	0.078532966	-0.0746379971	0.0786517734	-0.0207175151	0.0119717319	-0.0164299842	0.0118854102	-0.0565100068	0.0945618163	-0.0145038431	0.0069077065	0.0014467334	-0.0565436616	-0.0065193615	0.0972904949	-0.0423072322	-0.0026252035	0.0285840147	0.0293736358	-0.0274651095	-0.0673494097	-0.0086591163	0.0051508701	-0.0238105209	0.0047375744	-0.0207594165	0.0307412217	-0.0773474142	0.0341296432	-0.0505959405	0.0020612303	-0.0150824884	0.0343058549	-0.0588815019	-0.0044438756	0.0399532453	0.0948644757	-0.2250721612	0.0214572416	-0.0209108671	0.0446397492	-0.10095252	0.0053864289	-0.0890859625	0.0076199968	-0.0756152375	0.0852705778	-0.0770524612	0.0182899964	-0.1078138341	0.0132739158	-0.0264951705	0.055824817	-0.1813527165	0.0412850149	-0.0436270177	0.0954261683	-0.0136999746	0.0281413387	0.0579250918	0.0118758502	-0.2126488386	0.1083834611	-0.197776854	0.025942843	-0.0399728801	0.0531183581	-0.0252890788	0.0139877657	0.0733229038	0.0733209428	0.0733176744	0.0733130988	-0.00274468	n/a	n/a	7.533268302400001e-06	0.548388	n/a	0.300729398544	n/a	0.49501	n/a	n/a	0.2450349001	0.00938483	n/a	8.807503412890001e-05	n/a	0.00351905	n/a	1.23837129025e-05	n/a	0.00542284	n/a	2.94071936656e-05	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3362.166137833433	-14.106962649289017	199.0063951884354	11304161.138393782	6782.165828929228	-110.76219454323837	12268.263740034185	45997773.331095286	3267.739520108148	-3.4730848608942324	12.06231845097271	10678121.57127663	3756.65208873808	3902.855253070268	1.149471	34.958855	0.07289836	0.0366015	-0.037084992	-0.0211517793	-0.08899403	-0.0276817947	-0.181088689	0.0634067094	-0.0632758236	0.1730795904	-0.2122103051	-0.0024044723	0.0053171828	0.018833451	0.1854313104	-0.102628807	0.060194662	-0.0357669632	0.0399580521	0.0014954531	0.0542379372	-0.0464651569	0.0017914922	-0.052441641	-0.0231691509	0.019479861	0.0078750734	-0.0168206103	0.0651341156	-0.1251565029	0.0141620262	-0.0402543704	0.0260144394	0.0019070136	-0.0168911224	0.0381482512	0.0049201444	0.0538269604	0.0397351776	0.0299436446	-0.0014741742	0.0372169341	0.0850705339	0.0524286477	-0.0333114647	0.0225914302	0.0402409978	0.0376288309	-0.0508819606	-0.0191894129	0.0491228623	0.049431854	-0.0318129507	0.0070624255	-0.0664884647	0.026765365	0.060974624	-0.0130784537	-0.0122947998	-9.72737e-05	0.0771482253	-0.1128507316	-0.0668632355	0.0322263976	-0.0136408493	-0.006974178	-0.0791411729	0.0184337532	-0.0282893833	-0.0563036421	-0.005192854	0.0369758946	0.0976214329	-0.2128630673	0.0326427813	-0.0131046401	0.0629346196	-0.06201335	0.0486494394	-0.0583711223	0.0240595876	-0.0320505075	0.0976664998	-0.0850498698	-0.0443151564	-0.1250587555	-0.0170636171	-0.0558551916	0.0287802933	-0.1455192693	0.0071836522	-0.0182778065	0.0175908728	-0.0541679627	-0.1641956797	-0.0018814165	0.0466877918	-0.0447938203	0.1198653559	-0.0050015544	0.0312571946	-0.0347559039	0.1477344805	-0.0380981141	0.0093265606	0.0733176744	0.0733000262	0.0732706155	0.0732294473	0.00212868	0.00487336	2.37496376896e-05	4.5312785424e-06	0.560115	0.011727	0.313728813225	0.000137522529	0.522261	0.0272509999999999	0.0007426170009999	0.272756552121	0.00933032	-5.451000000000067e-05	8.705487130239999e-05	2.971340100000073e-09	0.00329257	-0.00022648	1.08410172049e-05	5.129319040000012e-08	0.00572279	0.00029995	3.2750325384100004e-05	8.997000250000013e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3347.7220183562144	-14.444119477218464	208.63258747216184	11207242.712187007	6676.780433908448	-105.38539502078038	11106.081483685924	44579396.96262268	3265.841104952792	-1.8984151553559057	3.603980102084989	10665718.122799275	3740.056202992185	3829.914796555125	0.949221	28.868637	0.0480474799999999	0.026089	-0.0391681917	-0.0264314382	-0.0804606829	-0.0091415949	-0.1085235914	0.0801259495	-0.0339685609	0.1302283639	-0.1132366829	-0.0138102984	0.0132729047	0.0181467639	0.1984102234	-0.096947601	0.0626283311	-0.0221623072	0.0204706103	-0.007784669	0.027540986	-0.0690358277	0.0045992058	-0.0601612075	-0.0201538026	0.0333029131	-0.0043910996	-0.0391819082	0.0340000475	-0.1147112434	0.0100233796	-0.032103982	0.0018761065	0.0083262246	-0.0009855341	-0.0097636613	0.0281742659	0.0043558115	0.0271700697	-0.0615877929	-0.0422367376	-0.0256392411	-0.0520026149	-0.008441748	0.0144493702	-0.019008257	-0.0098015855	-0.0554114316	-0.0129347612	-0.0071671433	-0.0041583093	0.0624304592	0.0597922239	-0.105549745	-0.0336738409	0.0204884366	0.0425428486	0.0677497419	0.0462547553	0.0223197429	0.0401899711	-0.0276221088	-0.0050738084	0.0051157123	0.0030763983	0.0049179484	-0.0147143051	-0.0251517854	-0.0387641606	-0.0522367694	-0.0015332776	0.0335870174	0.1168512018	-0.1985858178	0.0383152298	-0.0024731359	0.0212269803	-0.061392165	-0.0085193312	-0.0720426794	0.0252344101	0.0201686835	0.0458185408	-0.0460946172	-0.02246401	-0.0510424963	0.0334287295	-0.0249936297	0.0472286562	-0.0769208896	-0.008394467	0.0206326491	0.0294823699	-0.0092065998	0.0138561523	-0.0524670161	0.0005552836	0.0092225751	0.0069179408	-0.0388320841	-0.0404746628	-0.0424200353	-0.0223464207	-0.0026837952	-0.0054097242	0.073307216	0.0732581989	0.0731765279	0.0730622395	-0.0022373	-0.00436598	1.90617813604e-05	5.005511289999999e-06	0.563461	0.0033459999999999	0.3174882985209999	1.1195715999999731e-05	0.522136	-0.0001249999999999	1.562499999998268e-08	0.272626002496	0.00952499	0.00019467	9.07254345001e-05	3.789640890000037e-08	0.00352557	0.000233	1.24296438249e-05	5.4289000000000063e-08	0.00534625	-0.0003765399999999	2.85823890625e-05	1.417823715999999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3341.9009897518763	-5.821028604338153	33.88437401252298	11168302.22530457	6621.908690781849	-54.87174312659863	3010.9081937514243	43849674.70905218	3264.853856507776	-0.987248445016121	0.9746594921867489	10659270.704353698	3732.3171840953455	3801.3979515173983	0.81942	24.921011	0.05145039	0.0237911	-0.0440961645	-0.0282323914	-0.0649448068	7.41303e-05	-0.0549613516	0.0643590587	0.0067394202	0.1079353006	-0.1341631715	-0.0104446995	0.0183234311	0.0207931828	0.1903727008	-0.103062435	0.0546578936	-0.0168919287	0.0249618231	-0.023773686	0.0189033903	-0.0216605569	-0.0127129752	-0.0272276716	-0.0046325352	0.0688479522	-0.0063007507	-0.0123369813	0.0439634911	-0.0363851309	-0.0001837155	-0.0388451239	0.0202707254	0.0198842507	-0.0054751331	0.0124621595	-0.0075888345	-0.0144366205	0.0073261095	-0.0318601971	0.0339995442	-0.0688180833	0.005753391	-0.0176916886	0.0513228378	0.0393069619	-0.0096322878	0.0200289316	0.0283329305	0.0270559352	0.0307412595	-8.0193e-05	-0.0554352749	-0.0054920344	-0.0039088038	-0.0637186209	0.0218071837	0.0155161431	-0.0548764244	-0.0388804498	-0.0009134063	-0.0163652106	-0.0050176132	-0.0328000628	0.0090144147	0.0467751048	-0.0045649101	-0.0154268212	-0.0423430532	-0.0506849068	-0.0020358163	0.0269890104	0.1173986646	-0.1846689619	0.0240878635	-0.0086118042	0.0352179873	-0.0244243689	-0.0153040629	-0.0335782449	-0.0770079401	0.0041930583	0.0116249576	-0.0336881616	-0.0339233833	-0.0652857363	0.0118854494	-0.0265079437	0.0367908704	-0.0212555707	0.0090260152	-0.0016352417	0.0083446445	0.0094914868	-0.0421106411	-0.0486294124	0.0419227236	-0.0007814477	0.0157563235	0.0275606607	-0.0295781438	0.0064181806	0.0159795161	-0.0624953208	-0.0127775104	0.0732915294	0.0731954729	0.073035472	0.0728116665	-0.00773169	-0.00549439	3.01883214721e-05	5.9779030256100005e-05	0.548305	-0.0151559999999999	0.300638373025	0.0002297043359999	0.522052	-8.400000000008401e-05	7.056000000014113e-09	0.272538290704	0.00971972	0.0001947299999999	9.44729568784e-05	3.7919772899999563e-08	0.0032931	-0.0002324699999999	1.084450761e-05	5.404230089999992e-08	0.00515913	-0.00018712	2.66166223569e-05	3.5013894400000256e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3339.5771134057204	-2.3238763461558847	5.400401272222825	11152775.296383284	6596.227823789162	-25.680866992686788	659.5069294960697	43510221.50333031	3265.182660480248	0.3288039724720875	0.1081120523134252	10661417.806300871	3726.59941588281	3817.64737588752	0.755465	22.975956	0.04966521	0.0240858	-0.041494298	-0.0278882169	-0.0565558768	-0.0109707529	-0.0177362538	0.0220621826	-0.0176560389	0.1634151634	-0.0902935674	-0.0044077767	0.016942834	0.0167475198	0.1972612463	-0.0941115193	0.0644567294	-0.0260917981	0.031314951	-0.0109800178	0.0176923211	-0.0283043093	0.0214154112	-0.0225836006	-0.0430591037	0.0737880732	-0.0226662588	-0.0018154695	0.027726751	-0.0839867388	0.0195012872	0.0043641546	0.0225115992	-0.0092582489	-0.0073014714	-0.0056307464	-0.0443501066	-0.0077846612	-0.0023507405	-0.0164725534	0.0252160474	0.0283682629	-0.0031201911	-0.010982611	-0.0062992416	0.0014795979	0.0559128061	0.0029065292	-0.016077778	0.0016127092	-0.0077344569	-0.0111272126	-0.0188145352	0.0427517267	0.0404251318	-0.0438129301	0.0025214313	0.0196756865	0.0264177453	-0.0560348815	0.005086571	-0.0216012599	-0.0784602021	0.0017781245	0.0586163229	0.0192141096	-0.0094673107	0.0300750933	-0.0224126682	-0.0523239551	-0.007250484	0.0233426247	0.1174951813	-0.1829976119	0.042392689	-0.0069412963	0.0463397357	0.0065954502	0.0271093383	0.0046270018	-0.0448138524	-0.0423747263	0.0161873929	-0.036125635	-0.0154497448	-0.0526520891	0.0386584147	-0.0084045804	0.0662021608	0.0277848531	-0.0123980599	0.0247231164	0.0110325371	0.013313958	0.0146334716	-0.0411046063	0.0362588991	-0.0209468667	-0.0221165016	0.0053526933	-0.0040831099	0.0304645467	-0.0025213766	-0.0246948239	-0.0055495369	0.0732706155	0.0731118661	0.0728475383	0.072478014	-0.0130499	-0.0053182099999999	2.8283357604099995e-05	0.00017029989001	0.539975	-0.00833	0.2915730006249999	6.938890000000099e-05	0.522169	0.000117	1.3689000000007896e-08	0.272660464561	0.0095484	-0.0001713199999999	9.117194256e-05	2.935054239999969e-08	0.0030237	-0.0002694	9.14276169e-06	7.25763600000002e-08	0.00488185	-0.0002772799999999	2.38324594225e-05	7.688419839999976e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3339.110459982993	-0.4666534227276315	0.2177654169434136	11149658.663967833	6554.389730858376	-41.83809293078593	1750.42602008508	42960024.74398174	3262.5086396326947	-2.674020847553493	7.1503874931507	10643962.623677976	3718.6150259663823	3847.174652432309	0.759229	23.090425	0.0151766	0.00801571	-0.0370772183	-0.025534181	-0.0532764119	-0.0057606881	-0.0032073894	0.0414844287	-0.0176120384	0.1631036357	-0.0167211305	-0.0068907467	0.0214262209	0.0099694963	0.2020584696	-0.0880874784	0.0470061763	-0.0079628624	0.0075705413	0.0044532004	0.0261766253	-0.0061883709	0.0090548087	-0.0665624533	-0.027338786	0.044756844	-0.0310255143	0.0010685291	0.0213900867	-0.0743954462	-0.0185901334	-0.0185261317	-0.0301394921	-0.0300554071	0.0117082104	0.0005066285	-0.0018039711	-0.0051384994	0.0210417545	-0.0022905113	-0.0055620473	-0.0052106222	0.024470199	0.037878448	0.0529582577	-0.096520286	-0.0377131916	-0.038459702	-0.0008285436	0.0189818073	-0.0063864634	0.0456149898	-0.0633734686	0.0005100765	0.0081749161	-0.069468179	0.0249384942	0.0619539075	-0.0317195625	0.0425398713	-0.0476183235	0.0153093979	-0.0777438825	0.057783365	0.0315632331	-0.0114721883	-0.0144740971	0.0046751456	-0.0563268366	-0.0469246469	-0.0134388458	0.019555945	0.132908384	-0.1742033928	0.0441532737	0.0028187596	0.0063926818	0.0218569115	0.032104796	0.0202782849	0.0126738683	0.0131565585	0.0261845063	-0.0354775647	0.0022887009	-0.0729664544	0.0255418172	-0.0297423871	0.044470998	0.0497343065	-0.0189442212	0.0189368931	-0.0390548852	-0.0106804069	0.0169011697	-0.0208136391	0.0085728913	0.0561136687	-0.0085642801	0.0124042318	-0.0389920372	-0.0042167712	-0.0043822949	0.0210053439	-0.0143575889	0.073244476	0.0730074022	0.0726128475	0.0720616628	-0.0101823	0.0028675999999999	8.223129759999999e-06	0.00010367923329	0.544193	0.004218	0.296146021249	1.7791524000000464e-05	0.522137	-3.2000000000032e-05	1.0240000000020483e-09	0.2726270467689999	0.00960779	5.938999999999944e-05	9.23096286841e-05	3.527172099999934e-09	0.00303198	8.280000000000266e-06	9.1929027204e-06	6.855840000000441e-11	0.00497536	9.350999999999976e-05	2.47542071296e-05	8.744120099999958e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3341.1920383192296	2.0815783362368165	4.332968369890433	11163564.236927807	6534.570976237812	-19.818754620564505	392.7830347101469	42700617.84348959	3261.7597247444587	-0.7489148882359586	0.5608735098214784	10639076.501965048	3714.9931693717367	3803.7693128179394	0.777696	23.652075	0.0336217	0.0232893	-0.0380873464	-0.0269872841	-0.0589771748	-0.0044208747	-5.01942e-05	0.0619247248	-0.0137433261	0.1450430766	0.0036099464	-0.008112123	0.0193379242	0.0150599606	0.2056231904	-0.1000808594	0.0424879639	-0.0150653237	0.0262161425	0.0182593935	0.0272808345	-0.0044037291	0.0098764986	-0.04392235	-0.0115504856	0.0676804717	-0.0293939523	0.0158245191	-0.004789262	-0.0360566699	-0.0140735788	-0.0141996823	-0.0016927017	0.0728232992	-0.0486428335	-0.0078046423	-0.0148134827	-0.0491458856	0.0200501859	-0.0119262672	0.0334348781	0.0164051455	0.0347936178	-0.014641939	-0.0309645731	-0.0068047388	-0.0414037479	0.044128423	0.0637536618	0.0365862503	-0.0070484779	-0.0546920623	0.0178058821	-0.0146730391	-0.0235116308	-0.0230863633	0.0418352707	-0.0177369901	0.0792131199	-0.0204964429	-0.0167518359	-0.0458676568	0.0921321087	0.0220096423	-0.0188397482	0.0140000145	-0.007327651	0.0128514315	-0.0415274771	-0.0511115926	-0.011610218	0.0209380256	0.1282932192	-0.1780345383	0.0419825132	0.0177668899	-0.0024819085	0.0121737554	0.0297322703	0.0189227796	0.025023656	0.0603852281	-0.005246781	-0.004453698	0.0019698222	-0.0445660941	0.030306081	-0.0292530707	0.0242312984	0.0488612879	-0.0035190642	0.0108473238	-0.0158264716	0.0490006703	0.0336432452	-0.1106644669	0.0033960617	0.0630338123	0.0045464535	0.0319193194	-0.0364702459	0.0074400722	-0.0216267565	0.0155126245	-0.0512823413	0.0732131128	0.0728821113	0.0723315501	0.071563088	-0.010437	-0.0002547	6.487209000000005e-08	0.000108930969	0.542471	-0.001722	0.294274785841	2.9652840000000044e-06	0.522186	4.900000000007676e-05	2.4010000000075227e-09	0.272678218596	0.00950003	-0.00010776	9.02505700009e-05	1.1612217600000033e-08	0.00293978	-9.220000000000018e-05	8.6423064484e-06	8.500840000000033e-09	0.0045434	-0.0004319599999999	2.0642483560000005e-05	1.8658944159999956e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3343.833811217704	2.6417728984743007	6.978964047113308	11181224.557042714	6518.524317904811	-16.046658333000778	257.4952436560633	42491159.28311639	3264.981476671176	3.2217519267173884	10.379685477307204	10660104.043005891	3715.571138297026	3803.405167034289	0.821225	24.975901	0.1006832099999999	0.0494513	-0.0364789952	-0.0262666234	-0.0582677686	0.0039512908	-0.0048112878	0.1094069532	0.0084097738	0.0929513851	-0.0004781257	-0.008665942	0.0167049521	0.0304814626	0.2020226167	-0.0992253939	0.0333486696	-0.0124053183	0.0067040316	-0.0298500718	0.0182258105	-0.0182403317	-0.0013229284	-0.0665533343	0.0228595867	0.0663681556	-0.0575864142	0.0200925923	0.0197978344	-0.0631265556	0.0207301802	-0.0226124348	-0.0139559267	0.0078403155	-0.1080026536	-0.0115472766	0.0144808694	-0.090771083	-0.0155909057	0.019702175	0.0329134754	0.0532333247	-0.0203367388	-0.0112774322	0.0075032953	-0.0175908699	-0.0310345034	0.0966534167	-0.0510286802	-0.07513158	-0.0847167459	0.0384464293	0.0008954139	0.0107584275	-0.0524409826	0.0030940937	-0.0613707351	-0.0096442918	-0.0040385317	-0.0595094292	-0.0281802849	0.0230819995	0.0669074845	-0.0495743247	-0.0841952647	0.0354312473	0.0127415455	0.0124617806	0.043305207	-0.0554880628	-0.0066228205	0.0216152914	0.1310513414	-0.1757225246	0.0351500574	0.0162406401	-0.0168527612	-0.0028972366	-0.0203225791	-0.0153250868	-0.0221190089	0.0874827336	-0.028102346	-0.0368675234	-0.0112926556	-0.0380829336	0.0384831687	-0.0369001322	-0.0191642127	0.0425075106	0.0019468234	0.0352317104	0.0157024096	-0.0277281461	0.0587006075	-0.1099734333	-0.005128302	0.0897484835	0.0035716097	0.0499924927	-0.065539537	-0.0106153837	-0.0402666537	0.0607983194	-0.0817241368	0.0731765279	0.0727360288	0.0720038268	0.0709828583	-0.00692429	0.00351271	1.2339131544100004e-05	4.79457920041e-05	0.55597	0.0134989999999999	0.3091026408999999	0.0001822230009999	0.502861	-0.019325	0.000373455625	0.252869185321	0.010113	0.00061297	0.000102272769	3.757322209000011e-07	0.00317721	0.00023743	1.00946633841e-05	5.637300490000013e-08	0.00497993	0.0004365299999999	2.4799702804899995e-05	1.905584408999993e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
