global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34
4084.826704140364	n/a	16685809.20285823	n/a	7465.080496388561	n/a	n/a	55727426.81756089	3965.109087164354	n/a	15722090.073113335	n/a	4417.334894638239	4942.853355997182	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	n/a	0.0	n/a	2.61511e-06	n/a	n/a	6.8388003121e-12	-5.10075e-07	n/a	n/a	2.601765056250001e-13	7.9065e-05	n/a	6.251274225e-09	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4066.952432244752	-17.87427189561231	16540102.086141502	319.48959579827607	7296.127066443101	-168.9534299454599	28545.261490335422	53233470.16968361	3953.762771036395	-11.3463161279592	15632240.049633391	128.73888967558702	4391.778561749937	4865.524674539798	1.11194	20.486013	0.017808875185	0.0153051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.61511e-06	6.8388003121e-12	0.0	0.0138525	0.013853010075	0.000191905888138	0.00019189175625	0.0	-7.9065e-05	0.0	6.251274225e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4057.40927269196	-9.543159552792076	16462570.006126698	91.07189425004668	7215.768332657724	-80.3587337853769	6457.526095589074	52067312.63058604	3954.822059876602	1.0592888402070455	15640617.52528661	1.122092846987188	4379.139134973912	4830.435140681319	1.080139	19.900131	0.0366668005	0.0218676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00226352	0.00226352	5.123522790400001e-06	5.123522790400001e-06	-7.2105e-06	-7.2105e-06	5.199131025e-11	5.199131025e-11	0.00239172	-0.01146078	0.0001313494782084	5.7203245584e-06	-0.000404659	-0.000404659	1.6374890628099997e-07	1.6374890628099997e-07	-5.40468e-05	-5.40468e-05	2.92105659024e-09	2.92105659024e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4048.008688574399	-9.400584117560811	16386374.342773825	88.37098175133657	7140.14673957105	-75.6215930866747	5718.625340966606	50981695.46260709	3952.730169248208	-2.09189062839414	15624075.790884966	4.376006401163228	4368.4438448107885	4759.663298011089	1.117151	20.582026	0.0325666655	0.0188842	-0.0331565519	0.0270823148	0.0273152222	-0.015531485	-0.0255315089	-0.0089678575	-0.1585817085	-0.2477659615	-0.0235204107	0.0195604196	-0.0186250155	0.0121192184	-0.0280774205	0.0151975752	-0.0281021225	0.0177178363	0.0028122045	-0.0146617608	0.013263716	-0.0508080988	0.0559518627	-0.0165801939	0.0622965928	-0.0194680401	0.0198938806	0.0187346636	-0.0102033379	0.0557369522	-0.0733977014	0.0162472836	-0.0674754057	0.0051429693	-0.0079309883	0.0055868462	-0.0407733915	0.0191354301	-0.0283289293	0.0014927828	-0.1014217748	0.0503490173	0.0049287	-0.0222282561	-0.0034698542	-0.0626776146	0.0269699882	-0.0082767989	-0.007411638	-0.0220183977	-0.0319414872	0.006858594	-0.0934740952	0.0098448513	-0.0038195133	0.0381262487	-0.0384653687	0.0708831157	-0.0694066197	0.1108674133	-0.0333876176	0.022203481	-0.0858805545	0.0661567244	-0.0352148482	0.0779905566	-0.0886046445	0.0238644399	-0.084985836	-0.025521369	-0.0196859043	-0.0299460677	0.0371790268	-0.0062214372	0.0211952709	-0.0105005849	0.0374439777	-0.0540335286	0.0047276615	-0.0316214746	0.0144216244	-0.0292956661	0.0042641182	-0.0360748034	0.1199356195	-0.0027992332	0.0402798719	-0.0243368434	0.0821842864	-0.0616192064	0.0620625673	-0.0074278307	0.0901501147	-0.0649463797	0.0059274073	-0.0441933241	0.0595958791	-0.0637920956	0.0185697662	-0.0408233703	0.0168778889	-0.0111774423	0.0214966808	0.000429053	-0.0311209806	0.0361790148	0.046852905	-0.0390412306	-0.0194745053	0.0475501898	0.0361979061	-0.0938077292	-0.0467685288	0.0019374416	-0.0127316015	0.0094677166	-0.0127690689	0.0113116524	-0.0142739795	0.0235468176	-0.0479916308	0.0398691516	-0.1402135001	0.0736203503	0.0736183492	0.073615014	0.0736103448	0.0	0.0	0.0	0.0102576	0.00799408	0.00010521835776	6.390531504640001e-05	0.00360348	0.0036106905	1.303708588679025e-05	1.29850681104e-05	0.0187024	0.01631068	0.0002660382820624	0.00034977976576	-0.000404659	0.0	1.6374890628099997e-07	0.0	3.89775e-05	9.30243e-05	8.65352039049e-09	1.5192455062499996e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4049.192954432727	1.1842658583282173	16395963.582227638	1.4024856232018692	7129.286689268868	-10.860050302181662	117.940692565916	50826728.69778626	3956.9726929453327	4.242523697124852	15657632.89271504	17.999007320665925	4370.007853474651	4778.631983775967	1.077566	19.852724	0.05418014472	0.0313017	-0.0281202101	0.0165114377	0.0218240485	-0.0598585684	-0.0213275053	-0.0099782204	-0.098002076	-0.1976389776	-0.0216668124	0.0114450966	-0.0117395334	0.0141088166	-0.0045906511	0.0176722391	-0.0209007704	-0.0346146002	-0.0140893461	0.0155203862	-0.0154228394	-0.0428089124	-0.0047384959	-0.0537693991	-0.0381386473	0.0050435605	0.0969279988	0.0079265963	0.0131192349	0.0697558746	0.0140797011	-0.0466172631	-0.0827620355	0.0067834846	0.0400946218	-0.0299935132	0.0651947776	-0.0802366194	-0.0083490176	-0.0348361212	0.0174059751	0.0365004223	0.0108521836	-0.0360243584	0.0186444811	0.0048457409	0.0410097344	0.015322967	-0.0599219435	-0.0172095778	-0.0860064731	-0.0576941407	-0.0055703956	0.0488367894	0.0123878713	0.0159543809	-0.0131263414	0.0275529946	-0.0191401329	-0.007196199	-0.1145968455	0.0053891784	0.0139485516	-0.0390755613	-0.0406913307	0.090582061	-0.0347667015	0.0306809984	0.0063510489	-0.0239685299	-0.0178766691	-0.0414705722	0.0278343442	0.0100841482	0.0097870743	-0.0213871545	-0.0325264976	-0.0146089461	-0.0594979164	-0.0015075468	-0.0456699808	-0.0642304784	0.0303755748	-0.0250515787	0.0476267015	0.0379225783	-0.0116785217	-0.0165181475	0.1285165722	-0.0361530119	0.0494862041	-0.0038078205	0.0622114513	-0.0376477133	-0.0070165682	-0.0249985613	0.0293635538	-0.0630425292	0.0197361686	0.0620388828	-0.0420795988	-0.03523598	-0.0126282645	0.0057132928	0.0043283833	0.0689322511	0.003480583	-0.1044798431	-0.0993271605	0.0082186607	-0.0185165448	-0.0356208732	0.0082244112	-0.0149697754	-0.0427549943	0.0682429866	-0.023182987	0.1020065312	-0.0139645021	0.0062143069	-0.0031571616	0.0674732176	0.0290697025	0.073615014	0.0735970049	0.0735669929	0.073524983	0.0	0.0	0.0	-0.0160565	-0.0263141	0.00025781119225	0.00069243185881	-8.33972e-06	-0.00361181972	1.304524168978088e-05	6.955092967840001e-11	0.0235122	0.0048097999999999	2.313417604e-05	0.00055282354884	-0.000468788	-6.412900000000001e-05	2.19762188944e-07	4.112528641000001e-09	-0.000285782	-0.0003247595	1.0546873284025e-07	8.1671351524e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4046.826853385741	-2.366101046986387	16376807.581283936	5.598434164550076	7102.574970518868	-26.711718749999815	713.5159185790918	50446571.2118411	3959.020071286517	2.0473783411844124	15673839.9248495	4.191758071951036	4369.841069859503	4757.050988574165	0.999867	18.421221	0.06056722907	0.0317072	-0.0259009918	0.0249127925	0.0145827095	-0.0199223891	0.0138803574	-0.0099580037	-0.05708618	-0.1055415172	-0.0223352394	0.0272700744	-0.0114165447	-0.0089743077	0.0119369793	0.0068949765	-0.0068126571	0.0022836595	-0.0086916344	0.0210276682	0.0231346833	-0.0393689499	0.013607375	-0.0471678067	-0.031257187	0.0177576554	0.0485549582	0.0581264037	-0.0371591862	0.035795035	0.0645067882	0.0198352557	0.0271142901	-0.0353010106	-0.0040403121	0.0007834442	-0.0117760297	-0.0541775218	0.008682152	-0.0600682411	-0.0008424454	0.0364067014	-0.0048215857	0.0216320284	0.0166343416	0.0574332179	-0.0869526322	-0.0872766342	-0.0293472646	0.0439772741	0.0613237028	0.0512114586	-0.0730916546	0.0534762235	0.0826886048	-0.009693016	0.0355331497	-0.0155366061	0.069088006	-0.0276403406	0.0771123278	0.0094838351	0.0611354481	-0.0123531193	-0.0697567455	-0.0505104363	-0.0145506634	0.0492525357	0.0358728509	-0.0253787973	-0.0226101924	-0.0106991579	0.0187062385	-0.0073027637	0.0003529557	-0.0266744147	-0.0358635461	-0.0397499208	-0.0377591834	-0.0073044443	-0.0277054893	-0.039901234	0.0035233857	-0.0440897611	0.0009782919	0.0457685191	-0.0799540119	0.0368057993	0.0744311106	0.0049071293	0.0224068723	0.0451597224	-0.0144304894	-0.0176545874	-0.0701625579	-0.058771401	0.0160473029	-0.0362530479	-0.0422920127	0.0185788994	0.0536524313	0.0525675588	0.0604686813	0.0418843854	-0.0315511496	0.1064807014	-0.0360235009	0.0090819777	0.070524648	0.0576454287	-0.014981803	-0.0258617063	0.0096524934	0.0043006201	0.0158828047	-0.0959612766	-0.0468154292	0.0002695253	-0.0525008398	0.0097792054	-0.0201468293	-0.0250176263	-0.0515711484	0.0736043417	0.0735543224	0.073470982	0.0733543582	0.0	0.0	0.0	0.00217788	0.01823438	4.7431612944000005e-06	0.0003324926139844	-9.901620000000002e-06	-1.561900000000001e-06	2.4395316100000032e-12	9.804207862440004e-11	9.61283e-06	-0.02350258717	0.0005523716036834	9.240650060889998e-11	-0.000801237	-0.000332449	6.41980730169e-07	1.10522337601e-07	-0.000241657	4.4125e-05	1.947015625e-09	5.8398105649e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4044.417064988661	-2.409788397079865	16357309.395571494	5.807080118700744	7077.824909714033	-24.750060804834902	612.5655098430249	50095605.452568464	3952.102388463157	-6.917682823360337	15619113.288896188	47.85433564461465	4360.406297234666	4742.930548897379	1.079503	19.888418	0.07699735846	0.037389	-0.0304336288	0.0244168513	0.0067314826	-0.0265045985	0.0044040276	0.0107737833	-0.0259111693	-0.0886172056	-0.0292701208	0.00817968	-0.0219662862	0.0301558068	-0.0278373668	-0.0030719781	0.011037651	-0.0030995659	0.0346577486	-0.0356252447	-0.0206498483	-0.0084051039	0.042882413	-0.0123294543	-0.0253060353	-0.0318256624	-0.0548114078	-0.0352412414	0.1072773425	0.065910362	-0.0306758996	-0.0798496193	-0.0216928763	-0.022951018	-0.0211142854	0.0118199641	-0.0855505818	-0.0072519983	0.0674916273	-0.0163428065	0.0620192835	-0.0133967836	0.0242515185	-0.0118410522	-0.0585481089	0.0351491441	0.0719778523	-0.0736454765	-0.0089836344	-0.0344252259	0.0993324844	0.0452372106	-0.0562429352	0.0788111581	0.0140464479	-0.0666410723	-0.0630449256	0.0103781517	-0.0998460203	0.0772033979	-0.0052525951	-0.0284492491	-0.0445194537	-0.0533500523	-0.0716066855	0.0144302393	-0.0766502849	0.0087087174	-0.0137872611	-0.0281718087	-0.0085656799	-0.0314128926	0.0010853107	0.0111982733	0.0136038802	0.0122755475	0.012376111	0.005674668	0.0223798837	0.0466541807	0.037196725	-0.0165893846	-0.0444021409	-0.0080680704	0.0050766286	-0.0306056008	0.0971790452	-0.0063758312	0.0290023907	0.0460137526	0.040271233	-0.0330068164	0.0005754606	-0.0151999884	-0.0682993635	-0.0564744524	0.0651748128	-0.0510040612	0.1247306223	0.0053585129	0.0136101515	0.1748944608	0.0401703133	-0.0429443098	-0.0594467654	0.0590233059	0.0475752516	-0.0628474393	0.0792185532	0.041568828	0.0439823023	-0.03346619	-0.0695512274	-0.0543361681	-0.0773398062	0.0033549388	-0.0136863362	-0.009699163	-0.03215724	0.1131245967	-0.0239432938	-0.0360253608	-0.0153043366	0.0735883343	0.0734903141	0.0733270439	0.0730986685	0.0	0.0	0.0	0.028161	0.02598312	0.0007930419209999	0.0006751225249343	-7.210329999999998e-06	2.6912900000000035e-06	7.243041864100019e-12	5.1988858708899975e-11	0.0153628	0.01535318717	0.000235720356277	0.0002360156238399	-0.000404659	0.000396578	1.6374890628099997e-07	1.5727411008400006e-07	7.493219999999998e-05	0.0003165892	1.0022872155664001e-07	5.614834596839997e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4048.362723401629	3.945658412967987	16389240.740227854	15.568220311825051	7072.057746167453	-5.767163546580377	33.26017537300556	50014000.76512708	3956.375819175581	4.273430712424215	15652909.622557249	18.26221005389053	4361.550831899221	4747.742745776313	1.04922	19.330498	0.0562671756899999	0.0359125	-0.0305251249	0.0217176675	0.0193138088	-0.0272553994	0.0040273081	0.0101643867	-0.0178841076	-0.0431700746	-0.0227782529	0.0137177815	-0.0093745071	0.0039533687	-0.0146927833	0.0023074134	-0.0099501217	-0.0298978788	-0.0201353135	0.028155984	-0.0775828147	-0.0428442004	0.0058587372	0.0367639869	-0.0333630597	-0.0055979672	0.033445631	0.0480207164	0.0442708732	0.0879031467	0.0305754597	0.0183813793	-0.040435483	0.0195157933	0.0598478262	0.029846499	0.0494512096	-0.0015293531	0.0254666656	-0.109946195	0.0256014341	0.0048204162	-0.0807238353	0.0532683868	-0.0170196978	0.0399163685	-0.0033800041	-0.0785203217	-0.0683482588	0.0200887296	0.00504997	-0.0031903057	-0.0054736664	0.1158294518	-0.0177391034	0.0635677699	-0.0103780336	-0.0582034665	0.0515460229	-0.005732298	0.1206936961	-0.0234033087	-0.0523488239	0.0052611575	-0.0172377441	0.0212691305	-0.0457024672	-0.0039711851	0.0205634261	-0.0250196589	-0.0132422509	-0.0261871307	0.0005217434	0.0189454379	-0.0119453235	-0.0138147896	-0.0572165484	0.0264607627	-0.0484744338	0.0356077726	0.031107684	0.0033427523	-0.0438369595	-0.0665446492	-0.017927933	0.01739544	0.004312342	0.0043883778	0.0588738859	-0.0388663219	0.0044659241	0.0119217867	-0.020123838	0.0188003285	0.0242964329	-0.0456903344	0.0695852868	-0.0478380973	-0.0263878104	0.0696136079	-0.0390989515	0.0662528995	0.0873770586	-0.001234469	-0.0195564394	0.0516325482	-0.048726905	-0.058155443	0.0347635796	-0.0378121468	-0.043533526	0.0170077171	0.0130790611	0.0499189832	-0.0681878033	-0.0491965518	0.0179789218	-0.067674665	0.001243645	0.0410448355	-0.0810699384	-0.0414820381	-0.1266339258	0.0735669929	0.0734049987	0.0731352725	0.0727582103	0.0	0.0	0.0	-0.0041253	-0.0322863	1.701810009e-05	0.0010424051676899	-6.94964e-06	2.606899999999984e-07	6.795927609999915e-14	4.82974961296e-11	0.0255742	0.0102113999999999	0.0001042726899599	0.0006540397056399	-0.000404659	0.0	1.6374890628099997e-07	0.0	-0.00014923	-0.0002241621999999	5.024869190884e-08	2.22695929e-08	-5.12221e-05	-5.12221e-05	2.6237035284099998e-09	2.6237035284099998e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4045.7388964441584	-2.6238269574705555	16368003.218201196	6.884467902749193	7055.047994361734	-17.009751805719134	289.33165649216534	49773702.20274752	3954.094225766657	-2.2815934089239818	15634861.14624122	5.205668483645356	4356.300368800308	4742.318862948723	0.980984	18.073339	0.04917257569	0.0278312	-0.0301025076	0.0280587796	0.0180677154	-0.034445043	0.028515392	0.0010369437	0.0043585128	0.0041702055	-0.0254850377	0.0224100097	-0.0208218904	0.0342917459	-0.0008177338	-0.0211706865	-0.0063780975	0.040130441	0.0104182857	-0.011438105	-0.0076349785	-0.040235261	0.0240703862	0.0125995539	0.0360939871	-0.0736137552	0.0381513758	-0.0755873346	0.0095091897	0.1236706208	0.0044295519	0.0572957628	-0.0527435905	-0.0572552072	0.0786570284	-0.0246370029	-0.0195292481	-0.05068802	-0.0177980907	-0.0210663411	-0.0143092524	-0.0056763558	0.0327664128	0.091031959	0.1048862502	0.0054999251	0.0109198371	-0.0353117224	-0.0568806001	0.0216074803	-0.0561739574	-0.0108611747	-0.0204296978	-0.0469828353	0.00825499	0.0551934376	-0.0196076828	-0.03896471	0.0599942221	-0.0261217211	0.0186762568	0.042270394	-0.029436993	-0.0037695194	0.1511562171	0.0040843188	-0.156199459	0.0385183457	0.017836931	-0.027667913	-0.0170943764	-0.0308031128	-0.0060373024	0.0169632427	-0.0165471405	0.046969168	0.0029801137	-6.89151e-05	0.0228049027	0.0047394439	0.0448046082	0.0056954123	-0.0340476182	-0.0554175767	0.0448064486	0.0322895367	-0.0140739664	-0.0068341232	0.0746558056	-0.0245548586	-0.0312804689	-0.0274926473	0.0735833497	0.0720627707	0.0200269029	-0.0024752974	0.0327651165	0.011152899	-0.0561028792	0.0308568506	0.0324124567	0.1048085747	-0.0008742187	0.0817243237	0.0384801262	0.0049281625	-0.076327831	0.0108771959	-0.0062527956	-0.0023017554	-0.0121896992	0.0253690977	0.0938724405	0.005042816	0.0688946788	-0.0197624463	0.0037732127	0.0202774502	0.0732179364	-0.0420962356	-0.0078628715	-0.0276926736	-0.0514528103	0.073540319	0.0732984007	0.072895793	0.0723333783	0.0	0.0	0.0	0.013766	0.0178913	0.000189502756	0.0003200986156899	-7.210329999999998e-06	-2.606899999999984e-07	6.795927609999915e-14	5.1988858708899975e-11	0.0080624	-0.0175117999999999	0.0003066631392399	6.500229376000001e-05	-0.000404659	0.0	1.6374890628099997e-07	0.0	7.493219999999998e-05	0.0002241621999999	5.024869190884e-08	5.614834596839997e-09	0.0	5.12221e-05	0.0	2.6237035284099998e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
