participant_id	psi_id	ses	visitday	LRO_fMRILIKING	LRO_fMRIRESONANCE	LRO_fMRIOPENNESS	LRO_PREP1EEGLIKING	LRO_PREP1EEGRESONANCE	LRO_PREP1EEGOPENNESS	LRO_PREP2EEGLIKING	LRO_PREP2EEGRESONANCE	LRO_PREP2EEGOPENNESS	LRO_PREP3EEGLIKING	LRO_PREP3EEGRESONANCE	LRO_PREP3EEGOPENNESS	LRO_PREP4EEGLIKING	LRO_PREP4EEGRESONANCE	LRO_PREP4EEGOPENNESS	LRO_PREP5EEGLIKING	LRO_PREP5EEGRESONANCE	LRO_PREP5EEGOPENNESS	LRO_PREP6EEGLIKING	LRO_PREP6EEGRESONANCE	LRO_PREP6EEGOPENNESS	LRO_EEGLIKING	LRO_EEGRESONANCE	LRO_EEGOPENNESS	imputation_threshold
sub-PC001	PSI-0788	ses-01	0	65	49	50	71	39	61	74	40	60	86	59	71	70	67	49	91	70	66	60	62	49	65	70	70	0.5
sub-PC002	PSI-0557	ses-01	0	60	70	70	60	70	75	58	56	75	65	58	75	50	50	75	75	69	76	60	62	75	70	82	81	0.5
sub-PC003	PSI-0176	ses-01	0	65	75	87	83	86	90	68	51	89	55	50	73	76	61	90	57	52	82	75	75	89	61	74	86	0.5
sub-PC004	PSI-0115	ses-01	0	70	50	80	55	40	45	75	40	60	50	25	25	20	10	10	50	60	50	65	30	25	70	20	20	0.5
sub-PC005	PSI-0984	ses-01	0	33	26	26	80	80	80	69	68	71	100	100	100	66	59	68	91	93	91	100	99	100	92	89	79	0.5
sub-PC006	PSI-1453	ses-01	0	60	75	75	65	75	80	60	70	65	50	40	60	80	70	80	90	85	90	70	60	75	70	80	70	0.5
sub-PC007	PSI-2344	ses-01	0	80	70	90	60	50	70	70	70	80	20	10	40	60	40	60	30	30	50	60	60	70	70	80	80	0.5
sub-PC008	PSI-2203	ses-01	0	81	74	65	81	76	75	61	75	76	48	48	45	59	54	52	47	50	60	85	89	75	80	79	69	0.5
sub-PC009	PSI-2115	ses-01	0	80	80	80	80	80	80	80	80	80	81	80	80	80	80	80	60	50	40	80	80	80	80	80	80	0.5
sub-PC010	PSI-2312	ses-01	0	75	83	82	42	44	72	28	36	62	50	43	65	56	51	77	82	72	74	66	63	82	51	60	81	0.5
sub-PC011	PSI-2252	ses-01	0	90	80	85	85	75	90	60	65	70	65	60	66	68	67	85	62	45	50	72	75	80	75	85	90	0.5
sub-PC012	PSI-2231	ses-01	0	80	80	90	59	61	69	73	72	82	74	73	78	65	75	78	80	75	78	70	75	91	74	75	87	0.5
sub-PC013	PSI-2172	ses-01	0	80	90	75	50	50	50	14	20	23	75	50	75	75	50	25	100	90	94	90	50	25	50	39	20	0.5
sub-PC014	PSI-2154	ses-01	0	75	75	80	24	19	29	75	29	29	74	84	76	50	53	35	91	51	79	80	70	79	74	65	62	0.5
sub-PC015	PSI-2204	ses-01	0	67	90	100	69	67	78	55	66	70	67	76	76	62	66	73	79	89	76	85	86	79	71	63	68	0.5
sub-PC016	PSI-2304	ses-01	0	21	27	10	36	35	34	39	39	41	30	36	33	30	29	33	43	38	33	28	25	27	31	25	26	0.5
sub-PC017	PSI-2153	ses-01	0	65	46	69	95	70	80	80	45	58	95	80	83	80	75	70	86	78	85	86	81	83	81	80	64	0.5
sub-PC018	PSI-2161	ses-01	0	100	90	90	91	91	90	71	60	92	79	75	91	89	83	91	88	91	93	92	91	93	92	91	93	0.5
sub-PC019	PSI-2398	ses-01	0	91	80	81	100	100	100	65	51	50	65	65	70	100	95	96	85	80	85	70	65	55	86	85	70	0.5
sub-PC020	PSI-2393	ses-01	0	71	80	91	100	100	100	89	75	90	76	52	85	79	42	89	85	65	90	99	96	98	91	91	93	0.5
sub-PC021	PSI-2529	ses-01	0	75	60	60	70	41	64	75	50	60	62	51	62	85	75	65	84	60	80	60	45	35	82	80	72	0.5
sub-PC022	PSI-2460	ses-01	0	60	40	35	60	36	39	55	27	28	30	28	29	55	54	59	62	41	30	56	25	25	70	67	63	0.5
sub-PC023	PSI-2557	ses-01	0	93	96	95	83	84	83	76	78	82	63	71	67	81	82	82	71	72	72	72	73	76	61	62	63	0.5
sub-PC024	PSI-2526	ses-01	0	61	30	61	73	51	59	79	80	81	38	70	40	36	52	21	26	26	22	62	70	61	82	89	91	0.5
sub-PC025	PSI-2492	ses-01	0	74	70	80	36	28	41	52	46	44	70	68	68	72	71	70	81	80	81	71	73	73	67	78	72	0.5
sub-PC026	PSI-2453	ses-01	0	70	70	75	80	75	85	65	60	75	75	60	60	45	50	45	85	75	80	75	75	85	75	70	80	0.5
sub-PC027	PSI-2504	ses-01	0	95	90	80	96	96	90	58	51	38	44	32	26	34	28	6	98	97	96	72	59	45	82	62	61	0.5
sub-PC028	PSI-2631	ses-01	0	60	60	80	75	75	90	29	39	90	60	50	90	40	30	90	90	80	100	50	50	90	50	46	90	0.5
sub-PC029	PSI-2414	ses-01	0	91	100	100	89	100	100	83	91	100	100	100	100	100	100	100	100	100	100	100	100	100	88	100	100	0.5
sub-PC030	PSI-2652	ses-01	0	93	81	95	61	45	72	80	60	76	51	60	71	61	44	61	77	73	74	64	44	76	92	88	98	0.5
sub-PC031	PSI-0453	ses-01	0	32	34	65	27	22	57	33	31	51	67	67	69	30	31	49	58	53	57	34	30	55	41	42	61	0.5
sub-PC032	PSI-1552	ses-01	0	75	75	75	75	75	75	75	75	80	70	70	71	80	80	75	85	85	80	50	70	70	80	80	80	0.5
sub-PC201	PSI-1010	ses-01	0	50	20	80	85	85	95	50	65	95	10	30	95	50	85	95	94	82	100	75	75	90	70	100	100	0.5
sub-PC202	PSI-0304	ses-01	0	75	75	75	40	37	49	30	54	54	60	58	60	44	36	41	51	44	55	61	29	19	77	79	82	0.5
sub-PC203	PSI-0244	ses-01	0	60	50	85	61	73	80	25	16	29	61	41	81	51	38	72	49	61	81	37	73	87	60	80	84	0.5
sub-PC204	PSI-0198	ses-01	0	70	75	80	75	60	80	65	55	80	75	50	80	80	55	80	80	55	85	80	60	80	65	55	80	0.5
sub-PC205	PSI-0094	ses-01	0	66	62	45	64	63	83	48	28	19	64	29	54	52	37	49	91	87	74	75	71	74	51	61	39	0.5
sub-PC206	PSI-0034	ses-01	0	91	84	87	80	82	93	76	83	71	92	91	91	85	72	92	98	83	83	72	69	72	89	89	92	0.5
sub-PC207	PSI-0819	ses-01	0	100	91	100	80	70	85	96	85	83	61	61	72	81	76	77	93	97	94	82	83	81	91	100	92	0.5
sub-PC208	PSI-0264	ses-01	0	63	65	70	65	54	66	67	65	76	69	60	79	30	34	54	84	69	83	41	29	51	67	76	86	0.5
sub-PC209	PSI-0565	ses-01	0	61	19	30	51	21	31	50	24	19	52	41	41	28	8	3	60	39	71	62	51	52	71	80	66	0.5
sub-PC210	PSI-1309	ses-01	0	29	40	40	60	71	86	29	28	43	71	73	77	69	56	63	66	58	64	31	35	35	70	71	73	0.5
sub-PC211	PSI-1342	ses-01	0	66	71	60	91	99	92	81	84	82	70	78	80	60	72	60	38	22	45	71	68	83	70	71	67	0.5
sub-PC213	PSI-0347	ses-01	0	57	75	75	50	50	75	42	41	73	66	73	91	75	75	94	100	100	100	76	87	90	75	90	93	0.5
sub-PC212	PSI-0990	ses-01	0	82	65	80	41	42	64	52	57	79	38	39	47	84	51	74	77	60	86	73	66	85	64	71	87	0.5
sub-PC214	PSI-1433	ses-01	0	71	81	49	60	77	69	60	41	38	21	10	29	25	9	29	61	60	51	38	39	30	65	65	51	0.5
sub-PC215	PSI-1085	ses-01	0	61	62	80	60	69	74	77	64	82	50	50	61	66	78	79	50	34	55	80	88	91	96	96	95	0.5
sub-PC216	PSI-1317	ses-01	0	92	91	94	91	88	94	86	86	92	91	60	92	93	70	94	75	69	95	86	75	94	94	88	95	0.5
sub-PC217	PSI-1702	ses-01	0	48	52	54	52	59	74	62	64	63	46	43	65	51	51	72	43	50	60	64	63	66	51	59	64	0.5
