global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68	motion_outlier69	motion_outlier70	motion_outlier71	motion_outlier72	motion_outlier73	motion_outlier74	motion_outlier75	motion_outlier76	motion_outlier77	motion_outlier78	motion_outlier79	motion_outlier80	motion_outlier81	motion_outlier82	motion_outlier83	motion_outlier84	motion_outlier85	motion_outlier86	motion_outlier87	motion_outlier88	motion_outlier89	motion_outlier90	motion_outlier91	motion_outlier92	motion_outlier93	motion_outlier94	motion_outlier95	motion_outlier96	motion_outlier97	motion_outlier98	motion_outlier99	motion_outlier100	motion_outlier101	motion_outlier102	motion_outlier103	motion_outlier104	motion_outlier105	motion_outlier106	motion_outlier107	motion_outlier108	motion_outlier109	motion_outlier110	motion_outlier111	motion_outlier112	motion_outlier113	motion_outlier114	motion_outlier115	motion_outlier116	motion_outlier117	motion_outlier118	motion_outlier119	motion_outlier120
3468.756542029293	n/a	12032271.947871018	n/a	6738.091107021234	n/a	n/a	45401871.76651864	3402.058236285934	n/a	11574000.24308096	n/a	3926.01488764243	4055.4098800898846	n/a	n/a	n/a	n/a	-0.0380067498	-0.0340838113	-0.016664374	-0.0677996907	0.0966236816	0.1979460367	-0.0297279204	0.0961473174	-0.072567593	0.1418743207	-0.0158309406	-0.0300449363	0.0189566514	0.0324235406	-0.0148233741	0.0148127618	-0.0371628745	0.0327102641	-0.0184254546	0.0187007334	-0.0333496428	0.0883899744	-0.0060440787	0.0437430311	-0.0247305429	0.0429364755	-0.031706958	0.0019950169	-0.003452585	0.0372078279	-0.0574528378	0.0144811942	-0.025101117	0.0495077201	-0.107792842	-0.0185630436	0.0109319685	-0.087101595	0.0228312909	-0.0287686162	0.0098384405	-0.0035263111	0.0936556956	-0.0721193077	0.0175793841	-0.0728882028	0.0059425407	-0.011092795	0.0687871791	-0.023496656	0.0055072571	0.0705953872	-0.0136666509	0.0253691144	0.0281878575	0.0114055231	-0.0458778306	-0.047358182	-0.0389424437	-0.0329015581	-0.0291439957	0.0117792564	-0.0085333445	0.0203003683	-0.02836153	0.0469784265	-0.070365074	0.0191283862	-0.0097096705	0.1578633563	-0.0501930758	-0.0395564093	0.0042643062	-0.0314504151	0.1706699066	-0.0118167242	0.1133773808	-0.0171962405	0.0740492301	-0.0777263214	0.0918761893	-0.0561090171	0.0447110421	-0.246893073	0.0149368907	-0.0565461868	0.1604815529	0.0242946746	0.1112962855	-0.0295357061	0.0129001277	0.0733229038	0.0733209428	0.0733176744	0.0733130988	0.0706805	n/a	0.0049957330802499	n/a	0.111445	n/a	0.012419988025	n/a	0.413956	n/a	0.171359569936	n/a	-0.000328396	n/a	n/a	1.07843932816e-07	-0.00128786	n/a	n/a	1.6585833796e-06	-0.000291432	n/a	n/a	8.4932610624e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3459.4849008973933	-9.271641131899742	11968035.779537048	85.96332927873512	6634.38561698718	-103.70549003405448	10754.828663203376	44015072.514886364	3403.0071069618925	0.9488706759584602	11580457.370033149	0.9003555596938652	3908.652577049724	3971.412927118272	0.770703	29.640257	0.1363811	0.0615015	-0.0599361566	-0.0496142116	-0.0135917078	-0.0597116561	0.1110097431	0.1530403939	-0.0130581524	0.1122816504	-0.0322090418	0.1087315773	-0.0282969894	-0.03417519	0.0179285731	0.0309491316	-0.0091999927	0.0206530759	0.0008643583	0.0767715373	0.0047763146	-0.0034812226	-0.0374147463	0.1021552079	0.0471082538	0.0756976647	8.24302e-05	0.0217359014	-0.0102446316	-0.0838408119	0.0220164027	0.0738188739	-0.0445328121	0.0149166087	-0.0451769379	0.0925995904	-0.0899588063	0.0413664707	-0.0066207805	-0.1087331127	0.0267042424	-0.0535213729	0.0017685348	0.0661305603	0.0376584688	-0.0647545321	0.0080460471	0.0170051814	0.1156103126	0.0410470916	-0.0244587164	0.0166024344	0.0525901615	0.0377534799	-0.0730646559	0.049239058	-0.0424481048	0.0316320156	-0.0614425713	0.0761161965	-0.0470315157	-0.0419684582	-0.0416568856	0.0323366623	-0.0082917483	-0.0137327851	-0.0071506367	0.0220639377	-0.1143168763	0.0015326123	0.0240420731	0.1556354109	-0.0660585898	-0.0431648528	0.0043039087	-0.0483410895	0.087860428	-0.0044142947	0.0403259241	0.0295238974	0.0951937877	-0.0834602252	0.0963501909	-0.0718522271	0.0508106323	-0.1481193555	0.034689537	-0.0204866658	0.0738695471	0.0266920163	0.024054351	0.029601834	-0.0211132719	0.0733176744	0.0733000262	0.0732706155	0.0732294473	0.0553643	-0.0153161999999999	0.00306520571449	0.0002345859824399	0.141442	0.029997	0.020005839364	0.000899820009	0.455546	0.04159	0.207522158116	0.0017297281	0.000123112	0.000451508	2.03859474064e-07	1.5156564544000003e-08	-0.00081319	0.00047467	2.253116089000001e-07	6.612779760999999e-07	-0.000354812	-6.337999999999998e-05	4.0170243999999975e-09	1.25891555344e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3453.5145883827795	-5.970312514613852	11926763.012172678	35.644631522154775	6566.5566018129	-67.82901517427945	4600.775299512632	43119665.604812585	3404.408071536033	1.4009645741402892	11589994.31753969	1.9627017379960816	3903.469644770984	3968.158596562091	0.655372	25.204773	0.0951387	0.047613	-0.0431017519	-0.0517459962	-0.0045624477	-0.0464893606	0.0931670428	0.1145152812	0.039138586	0.0553773941	-0.0300225518	0.0692869252	-0.0140282282	-0.0293946034	0.0109393774	0.0507232684	0.0185365391	0.0321762049	-0.0027831857	0.0816930368	-0.0023039054	0.0109628218	-0.006192324	0.1195086633	0.0382465927	0.0488242117	-0.0164298852	0.0247506819	-0.0320789271	-0.0296971328	-0.0342201153	0.0359792069	-0.1120286455	0.0109221806	-0.0386168469	0.0363958965	-0.0422927552	-0.0218721704	0.0115867916	-0.0814170882	0.031962873	0.0025364796	-0.0260316131	-0.0241237097	0.0800718971	-0.0661409714	-0.0343721902	0.0037381428	-0.0794733355	0.0076791644	-0.0587142476	-0.0230642171	0.0125083692	0.0704057036	0.008614298	0.0233840515	-0.0391851774	-0.0210293217	-0.0469723804	0.0049579038	0.0261434684	-0.0261280438	-0.0381696759	0.0233948453	-0.0301321182	0.0041811475	-0.0043833449	0.0334763352	-0.1104940069	0.0023904773	-0.0185070985	0.1304476003	-0.0389211088	-0.0441554799	0.0199459882	-0.0243398251	0.0404170601	-0.0116851542	0.0496428678	0.0220187616	0.1132691545	-0.0311436321	0.031115889	-0.0333025334	0.00090312	-0.1464651661	-0.0193987604	-0.0288489425	0.0178026395	0.0172109501	0.0874127451	0.0164719258	0.0422601354	0.073307216	0.0732581989	0.0731765279	0.0730622395	0.0393835	-0.0159807999999999	0.00155106007225	0.0002553859686399	0.139628	-0.001814	0.019495978384	3.2905960000000366e-06	0.46745	0.0119039999999999	0.2185095024999999	0.0001417052159999	0.0008941399999999	0.0007710279999999	5.944841767838458e-07	7.994863395998212e-07	-0.000544521	0.000268669	7.218303156100003e-08	2.96503119441e-07	-0.000623913	-0.000269101	7.241534820100004e-08	3.8926743156900004e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3450.117524746516	-3.397063636263283	11903310.934563028	11.54004134882232	6525.719850510817	-40.83675130208303	1667.6402569081802	42585019.56735093	3402.47114458476	-1.9369269512726528	11576809.889731929	3.751686014566375	3893.069412352634	3922.9908632608	0.690671	26.562342	0.1068162999999999	0.0570839	-0.0658881564	-0.0563511276	0.0121182852	-0.048570352	0.0940343492	0.0703108031	0.0374370374	0.0625866577	-0.0244586402	0.0469556481	-0.0257016343	-0.0386309317	0.0369657857	0.0300241956	0.0050850843	0.0026829854	-0.0031511589	0.0800988282	-0.0102109343	-0.0149579647	-0.0201425407	0.1050502382	0.0545832583	0.0610085898	-0.0385003481	-0.0185701856	-0.0147395756	-0.0538098767	-0.052817722	0.0452504405	-0.0263992625	0.0155483605	-0.1096006591	0.0629139478	-0.0462546101	0.0416255489	-0.028767596	-0.0766591957	0.0674357214	0.0025714873	-0.0470671807	-0.0785680395	0.056264321	-0.095330207	0.0234367006	-0.0059121971	-0.0631618665	0.0096555184	0.0389193407	-0.0080066158	-0.0108680626	0.0163003939	-0.0348335648	0.050204849	-0.0451203877	0.0570384032	-0.0602875911	-0.0416766889	0.0648072111	-0.0393815395	-0.0490147359	0.049895524	-0.02748507	-0.0112182786	-0.0132239505	0.0050491043	-0.0934756083	0.0062288973	0.0147267599	0.1297711668	-0.0548010496	-0.0299624541	0.0124572759	-0.026858621	0.0027740499	0.0052230063	0.0092146268	0.0786075913	0.0906112614	-0.02020486	0.046980599	-0.0110731114	0.0179590963	-0.0763457613	-0.0206360164	-0.0310151495	-0.0321914929	0.0420309073	-0.020545729	0.0194888757	0.0334097397	0.0732915294	0.0731954729	0.073035472	0.0728116665	0.0748638999999999	0.0354803999999999	0.0056046035232099	0.0012588587841599	0.128425	-0.0112029999999999	0.016492980625	0.0001255072089999	0.431667	-0.0357829999999999	0.186336398889	0.0012804230889999	0.0013078	0.0004136600000001	1.7111459560008276e-07	1.71034084e-06	-0.000540191	4.3299999999999806e-06	1.874889999999983e-11	2.91806316481e-07	-0.000554905	6.900800000000007e-05	4.7621040640000095e-09	3.07919559025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3455.095339943628	4.977815197111795	11937683.808100175	24.778644136597137	6475.296781725761	-50.42306878505588	2542.485865702476	41929468.411428005	3404.58578018494	2.1146356001800086	11591204.334637498	4.471683721548665	3894.136583987901	4008.280482203299	1.210522	46.555134	0.54382145	0.3217	0.003178844	0.0056347197	-0.0057776304	-0.0013845529	-0.006467811	-0.0016405004	0.0525513678	0.0003968201	0.0125097968	0.0611139487	-0.0113455536	0.0116212572	-0.0049719401	0.0419998785	0.0230621327	0.0044049897	0.009389504	0.0133433185	-0.0348540043	0.0323315697	-0.0065914379	0.046601521	-0.0209390483	0.0192788017	-0.0029457901	0.0395380527	0.0226745181	0.03617161	-0.0507454644	0.0447980177	-0.0573650394	-0.0754755709	-0.0004546523	0.023736828	-0.0316650549	0.0134578664	-0.0813414633	-0.1204088723	0.0225793493	-0.0448614766	-0.0055495913	-0.0270223781	-0.0743766455	0.0296115275	-0.0393614367	0.0523575518	-0.0883757552	-0.0613154226	0.0394788727	-0.049321808	0.0207975747	0.0699234693	-0.1100143315	0.0045276484	-0.0268749978	-0.011495609	-0.0064363848	0.0399986245	0.0793041183	-0.0059893083	0.0130080981	-0.0027752954	-0.0371897203	0.0165714085	0.0134758991	0.015752833	-0.0317165938	0.0269218917	-0.0519765291	0.0305924804	-0.0329780111	0.0271875417	-0.0103724865	-0.017503304	0.0247784211	0.016620866	0.0262141817	-0.0509255625	0.0700913301	0.0459551156	0.0395138952	-0.0368624918	-0.0114914977	-0.0493133196	-0.0129426685	-0.0254877841	-0.0400697194	0.1205880283	-0.048667815	0.111921095	-0.0178340123	0.0732706155	0.0731118661	0.0728475383	0.072478014	0.0937065	0.0188426	0.00878090814225	0.00035504357476	0.0437733	-0.0846517	0.00191610179289	0.00716591031289	0.140339	-0.291328	0.019695034921	0.084872003584	-0.00124287	-0.00255067	6.505917448900001e-06	1.5447258369000002e-06	-0.000483517	5.667399999999999e-05	3.211942275999999e-09	2.3378868928900003e-07	-0.000182266	0.0003726389999999	1.3885982432099998e-07	3.3220894756e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3456.808860829322	1.7135208856939244	11949527.500308117	2.936153825709291	6469.696645883413	-5.600135842348209	31.36152145275308	41856974.68975508	3404.3748919504083	-0.2108882345319216	11589768.404942354	0.0444738474639907	3897.1003596447	4055.421266709572	0.985129	37.88681	0.3813908	0.259959	0.0396106299	0.0699839705	0.0254226913	0.0355938952	-0.0683491751	-0.0146709286	0.0324819784	-0.0222801277	-0.0049873451	0.0851528345	0.0044657763	0.0621783069	0.0146187565	0.0066386615	0.0305145812	0.0132297945	0.0153556236	-0.0509241039	0.0068704107	0.0102885684	0.021161232	-0.0634908034	-0.017715369	-0.0413971688	-0.0123776556	0.0284987391	0.0194081119	0.0213366144	-0.0084027832	0.018595392	-0.0201031475	-0.0677030908	0.0077699598	-0.022263461	0.0385803555	0.0130220741	-0.0385399057	0.0018136595	-0.0150872348	-0.0019542195	-0.0286948223	-0.0438620789	-0.0862278732	0.0092560296	-0.0385001227	0.0331147137	-0.0497020831	-0.0034180753	-0.0374713454	0.0455085369	-0.0728793824	-0.1053979997	0.0151428203	0.037904424	0.1044318995	-0.1017307345	-0.0339382486	-0.0192113623	-0.0391840461	0.0253700677	0.0653443298	-0.0004128732	-0.0224356875	0.00831741	0.0244438118	0.0092203077	0.0548739589	-0.0142883833	-0.0064447604	0.0058557735	0.0334593198	0.0672982357	0.0134397377	6.41265e-05	-0.0325367687	0.0018370934	0.010529193	-0.0615099934	0.0140660367	0.0342715238	-0.0144060136	-0.0449687769	0.0357670119	-0.019189866	-0.0085806813	0.052163675	-0.0310765114	0.0937072859	-0.0109911987	0.0189609442	-0.0692355932	0.073244476	0.0730074022	0.0726128475	0.0720616628	0.0770214	-0.0166850999999999	0.00593229605796	0.0002783925620099	-0.0351963	-0.0789696	0.00123877953369	0.00623619772416	-0.102348	-0.2426869999999999	0.0104751131039999	0.0588969799689999	-0.0007545269999999	0.0004883430000001	2.3847888564909774e-07	5.69310993728849e-07	-0.000483517	0.0	0.0	2.3378868928900003e-07	-0.000554905	-0.0003726389999999	1.3885982432099998e-07	3.07919559025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3449.781576741625	-7.0272840876968985	11900992.927225932	49.38272164919803	6419.416067896133	-50.280577987279685	2528.1365227349143	41208902.652763054	3400.9712067132755	-3.403685237132777	11566605.148892753	11.585073193475608	3886.619336157844	4012.774756059275	0.685772	26.37393	0.1331819	0.0806935	0.0174401908	0.0483226117	0.0523115934	0.0318955907	-0.0478950652	-0.0447349983	0.0548531044	-0.0178396095	0.0075644793	0.0336261257	0.0055133979	0.0535991955	0.0410511943	0.0069304021	0.0229810914	-0.0097156644	0.0160581043	-0.0187969652	0.0108989508	-0.0023636361	0.0153054587	-0.0275714114	0.0364345475	-0.0164355879	0.0019408935	0.0140931195	0.0291852015	-0.0199602005	-0.0093593716	-0.0118811508	-0.015148746	0.0119834661	0.0372100772	0.0001584016	0.0769164185	0.0089921305	-0.0199655663	-0.0296434465	0.032227349	-0.0450100229	0.0003159541	-0.0192132194	-0.0895849112	-0.0983123295	0.045831967	0.0114308835	-0.0561244562	0.0067621009	0.0013279665	0.0148222831	0.0255007311	-0.0309573679	-0.0340334771	-0.0267826845	0.0727214302	-0.0396880067	0.0172561937	0.0069780654	-0.0167846851	0.0212674435	0.0474745601	0.0284937579	-0.0314571984	0.0140891035	0.0152447239	-0.0148615069	0.0332264305	-0.0101078494	-0.0013394603	-0.0155007682	0.0143711305	0.0201938007	0.0042615805	-0.0127312437	-0.069113793	0.0159781141	-0.0005578133	-0.042030911	0.009343865	-0.0080815081	0.0218874365	0.0152257454	-0.0020036054	0.0498402623	-0.0294379412	-0.0004776655	-0.0324949149	0.0551607397	-0.0579584215	0.047470998	-0.0657834662	0.0732131128	0.0728821113	0.0723315501	0.071563088	0.0146587	-0.0623627	0.00021487748569	0.00388910635129	-0.0351879	8.399999999998686e-06	0.00123818830641	7.055999999997791e-11	-0.115017	-0.012669	0.013228910289	0.000160503561	0.000156543	0.0009110699999999	8.300485448998177e-07	2.4505710849000004e-08	-0.000540643	-5.712600000000006e-05	3.263379876000007e-09	2.9229485344900005e-07	-0.000749545	-0.00019464	3.7884729600000024e-08	5.61817707025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
