global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55
2829.900633520139	n/a	8008337.595597683	n/a	5817.468209734435	n/a	n/a	33842936.37127077	2832.446281652161	n/a	n/a	8022751.938445153	3258.5201190735647	2990.5093171031203	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.106106	n/a	n/a	0.011258483236	-0.129726	n/a	n/a	0.016828835076	-0.357324	n/a	n/a	0.1276804409759999	-0.0076114299999999	n/a	5.793386664489848e-05	n/a	-0.00141827	n/a	2.0114897929e-06	n/a	0.00309729	n/a	9.5932053441e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2814.981150215175	-14.919483304963704	7924118.876066751	222.59098208709077	5672.41399055742	-145.0542191770146	21040.726501053392	32176280.480271555	2825.2698831409584	-7.176398511202478	51.50069559158915	7982149.912583325	3227.5019660916964	2943.7141240306737	1.391873	37.84613	0.1491162	0.0758024	-0.0652157689	-0.0093575443	-0.0212226201	0.0577445277	-0.0534826785	-0.0006614793	-0.0757717705	-0.1348414818	-0.0520198335	-0.1443478229	-0.225713971	-0.0620813633	-0.0528139969	-0.0398489544	0.0422038801	-0.0395364449	0.0292568818	-0.0389889771	0.0403261354	-0.0219622171	0.0434207733	-0.0191719102	0.0461333967	0.0335424978	-0.0424830986	0.1834718712	-0.188896392	0.1863049455	-0.0494884493	0.02289597	-0.0411012743	0.0581696655	-0.0034082719	-0.033887173	0.1255410123	-0.0475958331	0.0081206874	-0.0449612068	0.0783218597	-0.0265686644	0.0348504087	-0.0380620385	0.0410848472	-0.0114610517	0.0505508576	-0.0012573955	0.0348921152	-0.0007564227	-0.1413399354	0.0378043723	-0.0004599459	-0.0459000244	0.0016769141	0.0160365783	-0.0757495922	-0.1396677053	0.0284502493	0.0801347235	-0.0904313602	-0.0229613593	0.0414453054	-0.0166920279	-0.0612770093	-0.0329341943	0.0233942847	0.0917282999	0.04464535	-0.0300622285	0.009868554	-0.1785703266	0.0682957412	-0.1594494225	0.0305357256	-0.1158867301	0.0471477384	-0.0090909786	0.0856586341	-0.0546508802	0.0066595751	-0.2668241449	0.1236013463	-0.0429588321	0.0612500764	-0.1090922814	0.1664105204	-0.08163482	0.074093331	0.1454272329	-0.101901907	0.0403636141	-0.0171311586	0.0350011373	-0.1579037464	0.0435832493	-0.0858828797	0.0217879563	0.0734216517	0.0734196774	0.073416387	0.0734117805	0.0	0.0875968	-0.0185092	0.00034259048464	0.00767319937024	-0.12808	0.001646	2.709316000000028e-06	0.0164044864	-0.421315	-0.063991	0.004094848081	0.177506329225	-0.0081110699999999	-0.00049964	6.578945654489839e-05	2.496401296000009e-07	-0.00124271	0.0001755599999999	1.5443281441e-06	3.082131359999998e-08	0.00247309	-0.0006242	6.116174148099999e-06	3.896256400000002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2820.8474819873863	5.866331772211197	7957180.516634578	34.41384846165456	5680.060302734375	7.64631217695478	58.46608990744694	32263085.04269892	2833.833120970378	8.56323782941945	73.32904212320032	8030610.157508712	3232.8566549407565	2914.141596764633	1.562555	42.487099	0.3780339	0.213983	-0.0919637198	0.013320354	0.0006950888	0.0505550883	-0.0682365026	-0.0095743029	-0.1174164134	-0.1424645687	-0.0139878764	-0.1296184796	-0.1929311365	-0.0070183963	-0.0195124032	-0.0810161754	0.0469861786	-0.0712975157	0.0389626678	-0.0613289767	0.0554918932	0.0158825322	0.0543792084	0.035885608	0.0381883102	0.0452089284	-0.023115937	0.1276562261	-0.1844538303	0.1196197458	-0.0975816772	0.0481298868	0.0600193168	0.0372371396	-0.0779480308	-0.0425434566	0.0320841439	-0.0290681536	0.0471687701	-0.0440739136	-0.0292808316	0.0237213543	0.0465560434	0.1353996303	0.0996770596	-0.048178782	-0.093460866	-0.0736629539	0.0710751747	-0.0300383703	-0.1151390218	0.0003592605	0.0275928923	-0.1021668929	0.0221312667	-0.0098825034	-0.0681825943	-0.035235523	-0.0352035249	0.0888939684	0.0433325846	0.0799174898	-0.036907643	-0.1091433227	-0.0337497604	-0.0803946618	0.0465243918	0.0835762574	0.0476627158	-0.0748992895	-0.0493876676	-0.1828042875	0.0912216351	-0.1042216772	0.0202628241	-0.1144526136	0.1070712161	0.0579423366	0.1355064524	-0.0682272233	-0.0715624348	-0.0588752531	0.1021897649	-0.0057333613	-0.1020772108	-0.0710638615	-0.0587913431	0.0220294519	0.0687881302	0.1081643102	-0.1474275362	0.0304053994	-0.1765716218	0.0472202142	0.0257227942	0.0142996688	-0.0365072174	0.1147596081	0.073416387	0.0733986196	0.0733690104	0.0733275642	0.0	0.0181351	-0.0694617	0.00482492776689	0.00032888185201	-0.0952888	0.0327911999999999	0.0010752627974399	0.00907995540544	-0.217372	0.2039429999999999	0.0415927472489999	0.047250586384	-0.00743128	0.0006797899999999	5.52239224384e-05	4.62114444099865e-07	-0.00076963	0.0004730799999999	5.923303369e-07	2.2380468640000002e-07	0.0021892	-0.0002838899999999	4.79259664e-06	8.059353209999987e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2819.452703315481	-1.394778671905442	7949313.546232973	1.9454075436023088	5613.212970458056	-66.84733227631932	4468.565832460643	31508159.85171855	2836.943454908288	3.110333937910127	9.674177205315518	8048248.166346974	3217.9484166485045	2927.511337909502	1.391556	37.837505	0.21103085	0.108458	-0.0854043582	0.0252885794	0.0036460964	0.0340537317	-0.0176979862	0.0152447066	-0.0889721158	-0.0957351121	-0.0165837976	-0.048656085	-0.1619047368	-0.0052137347	-0.0105742006	-0.0763304654	0.0377712195	-0.0425507095	0.0291932222	-0.0324283323	0.0226988632	0.0537024884	0.1096338209	-0.0529274937	0.08074279	0.0809575312	-0.0296057549	0.1235848572	-0.0653516202	0.0905539159	0.0140345384	0.0299531328	0.0595511206	0.1104512623	0.038820656	0.1459027649	0.0253029027	-0.063060901	0.0080759404	-0.0082598576	0.0466463824	0.022974865	0.0828726171	0.0307711013	0.0879819161	-0.1540992721	-0.012003666	0.1504222771	0.1223681423	0.1033761993	0.066618737	-0.1042060883	0.0246913941	-0.0560148701	0.0510556075	-0.0796252647	-0.0552963879	0.1016408157	0.0643928302	0.0703439351	0.0317970296	0.0315210608	-0.0847723147	0.1070359255	-0.0306114385	-0.0823157994	0.0501355107	0.0358904385	0.0057685885	-0.0727724014	-0.0594139081	-0.1134036341	0.0488956102	-0.0391993702	-0.0256495633	0.0733023218	-0.0531347873	-0.0975581121	0.0911632931	-0.0672270285	0.0706309646	-0.0573959782	0.0743255252	0.0662145144	0.0046575257	0.0432580414	0.0489639539	-0.0186325526	0.1102852801	0.1063555778	-0.161016833	-0.0321774551	-0.0733598942	0.0930429349	-0.0933160194	0.1100806636	-0.1236635026	0.1420896253	0.073405858	0.0733565099	0.0732742877	0.0731592282	0.0	0.0182144	7.929999999999743e-05	6.288489999999592e-09	0.0003317643673599	-0.0679229	0.0273659	0.00074889248281	0.0046135203444099	-0.11505	0.102322	0.010469791684	0.0132365025	-0.00641069	0.00102059	4.10969462761e-05	1.0416039481e-06	-0.000164947	0.000604683	2.7207512809e-08	3.6564153048899993e-07	0.0021892	0.0	4.79259664e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2818.286020746179	-1.1666825693018836	7942736.094733332	1.3611482175128444	5625.734319302519	12.52134884446332	156.7841768847429	31648886.631378178	2834.873212305809	-2.070242602479084	4.28590443311937	8036506.129849056	3222.780855236136	2970.9423612221	1.353909	36.813858	0.18526975	0.106575	-0.0785084266	0.0171561186	0.0075526343	-0.0271745032	-0.0850256463	0.0060612133	-0.0677301492	-0.08923331	0.0114160016	-0.1021480535	-0.1030933011	-0.088986301	-0.0147989897	-0.0682637838	0.0475221168	-0.0407584069	0.0528533287	-0.0537474024	0.0114131476	0.0377612014	0.04016891	0.0586488836	0.0245429985	0.0464756906	0.0265360342	0.0135420251	-0.0482264315	0.1199380682	-0.0686538678	0.0323295098	-0.0930083611	0.0354995477	0.0085687233	0.0032118645	0.0047045081	0.0537128013	0.1068501748	0.0779581549	0.0709092498	0.0099904545	-0.0655560537	-0.1145330849	0.0102826473	0.0307256166	-0.0683736326	-0.0037124288	-0.0062696159	0.0150606159	0.0355259609	0.0438505559	-0.0226423933	0.0341486988	-0.0123667613	-0.0379784394	-0.0234753025	-0.0684668175	0.0460293206	-0.0152264135	-0.0409743467	0.0251543429	-0.0264532628	0.1099852104	-0.031295916	-0.0647828386	0.0397896517	0.059855891	0.05148983	-0.0451912796	-0.0475422701	-0.092274629	0.036517173	-0.0477463025	-0.0295289792	-0.0267701868	0.0861499062	0.042876717	0.0535670441	-0.0641197927	-0.0097733046	-0.0449068555	-0.0653344741	0.085514273	0.1028060134	-0.0363690127	-0.0386938574	0.0039393147	-0.0001189426	-0.0144030165	-0.0467827408	-0.050918494	-0.0725104773	-0.0397640457	0.0351997094	-0.0713430014	-0.0700110505	0.0706133808	0.0733900654	0.0732933606	0.0731322801	0.0729069657	0.0	0.0183401	0.0001257	1.5800490000000728e-08	0.00033635926801	-0.0612385	0.0066843999999999	4.468120335999991e-05	0.00375015388225	-0.166765	-0.051715	0.0026744412249999	0.027810565225	-0.0052252	0.00118549	2.730271504e-05	1.4053865401e-06	0.000429196	0.000594143	1.8420920641600002e-07	3.53005904449e-07	0.00143394	-0.00075526	2.0561839236e-06	5.704176676e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2813.3508281551767	-4.935192591002306	7914942.882281419	24.35612591028405	5563.043272301272	-62.69104700124717	3930.167374112582	30947450.44949644	2835.832467258319	0.9592549525100368	0.9201700639150328	8041945.782356405	3217.124254676917	2956.1314181298326	1.095349	29.783417	0.1789441	0.109398	-0.0810077338	0.0002204367	0.0117146193	-0.0247868193	-0.0545775111	0.0338418978	-0.0407313725	-0.0322386454	0.0216606848	-0.0455818125	-0.0875806422	-0.0207720427	-0.0148825656	-0.0400788094	0.0331772353	-0.052227106	0.0659099654	-0.060110044	0.0113823421	0.0324104361	0.0132060598	0.0548634307	0.0030211628	0.0005807541	0.0677395861	0.0110518066	-0.0809702273	0.121851913	-0.0197561775	0.0285160093	-0.0999748565	0.0314632174	-0.0362328339	-0.0551940608	0.0323441548	-0.0464896029	0.0561533814	0.0212644141	-0.01306916	0.0237780233	0.0620707555	0.0207249584	-0.0778317496	0.0685997605	0.0261008913	-0.0915242061	0.0337105227	0.0104883545	0.0951304201	0.0092269732	-0.0865843814	-0.071394003	0.0180808875	0.0929660411	0.0479071969	0.0117850937	-0.0011742642	0.0602593593	-0.0282336438	0.0560795843	0.1113724348	0.0085144432	-0.0405252198	-0.0313303914	0.0316529772	0.058311927	0.0615163939	-0.051343198	-0.0500502605	-0.0601497803	0.0308086349	-0.0388734526	-0.0406038209	-0.0760428116	0.0255593098	0.093514966	-0.0232946338	-0.0252633508	0.0828844999	-0.06734205	-0.0476402685	-0.0110062346	0.0548386852	-0.0716309952	0.0375645701	0.0257365798	0.0113695279	0.0142269851	0.006813744	-0.0327259123	-0.0276310768	0.0090390312	-0.0488135328	-0.0121032018	0.0270327309	0.0418626785	0.0733690104	0.0732091895	0.0729430793	0.0725710659	0.0	0.0384459	0.0201057999999999	0.0004042431936399	0.00147808722681	-0.050568	0.0106705	0.00011385957025	0.002557122624	-0.22432	-0.0575549999999999	0.0033125780249999	0.0503194623999999	-0.00383345	0.00139175	1.46953389025e-05	1.9369680625000004e-06	0.00019631	-0.000232886	3.85376161e-08	5.423588899600002e-08	0.00124632	-0.00018762	1.5533135424e-06	3.520126440000004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2808.44595038241	-4.904877772766668	7887368.656219359	24.057825965780506	5548.203168629693	-14.840103671578618	220.22867698320115	30782558.40039257	2831.484186336777	-4.348280921542028	18.907546972646383	8017302.69747524	3214.7186390627094	2958.2897095434446	1.074388	29.213459	0.0877359	0.0544838	-0.0707308625	-0.0076817691	0.0213345081	-0.032305684	-0.011438365	0.039598766	-0.0301401769	0.0004937296	0.0172982524	-0.0829438286	-0.0694998362	0.0236367941	-0.0367447456	-0.0310046551	0.0297883303	-0.0415716561	0.0518116142	-0.0763431796	0.0172953991	0.0059066763	0.0318904151	0.0374263854	0.045168247	0.0261172161	0.0436675486	-0.0019890453	-0.1292273409	0.1386186882	-0.0702717337	0.0648880793	0.0223176112	-0.0066144804	-0.0272660169	-0.049234099	0.0286769255	0.017362741	-0.0263923556	0.0346143471	-0.0286966577	-0.0074408375	-0.0414510699	0.0423145378	-0.0260434111	-0.0080140733	-0.0169488506	0.0738986901	0.0484303699	-0.015675601	0.0065039114	0.0326474638	0.0200899968	-0.0044525793	-0.0488870517	0.0574716364	-0.0112920203	0.0024264728	-0.2062436938	0.0635679912	-0.0104972983	-0.0111547152	0.0280831043	0.1065307691	-0.0539852463	-0.0189453788	0.0164099217	0.0537364114	0.0584115127	-0.0635056631	-0.0397813673	-0.1004106912	0.0480673776	-0.0881292753	-0.0437112884	-0.1121886133	0.025997516	0.036341816	0.0729476789	-0.0461730106	0.0242241737	-0.0148252308	-0.0345577182	-0.0012076322	0.0159340237	-0.0560927747	0.0430799588	0.0513237987	0.0683699498	0.0108483299	0.0197542964	-0.0275469356	-0.013865077	-0.011365337	0.0785429711	-0.0191646392	-0.0206786867	0.080194537	0.0733426945	0.0731040211	0.0727068072	0.0721519143	0.0	0.0357228	-0.0027230999999999	7.4152736099999955e-06	0.0012761184398399	-0.0712783	-0.0207103	0.00042891652609	0.00508059605089	-0.233774	-0.009454	8.937811600000033e-05	0.054650283076	-0.00294914	0.00088431	8.6974267396e-06	7.820041761000003e-07	0.00019631	0.0	3.85376161e-08	0.0	0.00145898	0.0002126599999999	2.1286226404e-06	4.522427559999997e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2812.934544860684	4.488594478274081	7912600.753670584	20.14748039039257	5564.949996658152	16.746828028458367	280.4562490147588	30968668.465305563	2831.8731191758743	0.3889328390973787	0.1512687533283475	8019505.363110895	3216.5987243652344	2972.1138623424413	1.098446	29.867607	0.2290307	0.113669	-0.0686290563	0.0067385315	0.0155941034	-0.0277646507	-0.068187784	0.0279712943	-0.0348138336	-0.0463468311	0.0522699156	-0.0759390914	-0.0271991373	-0.0574077258	-0.0195336318	-0.060105001	0.0183820833	-0.0329232217	0.0550400813	-0.0677787905	0.0230649736	-0.0157882667	-0.0060606672	0.0972047226	0.052849627	0.042831766	-0.0143309129	0.0077832877	-0.0527689875	0.109530695	-0.0296874484	0.1222900954	-0.0687334437	0.0448190834	0.0174428517	-0.0422010767	0.0431249158	0.0883357147	0.0163302229	0.0405382482	-0.0075064394	-0.0270395537	-0.074091211	0.0386363495	-0.0244765925	-0.0776021057	0.0298127409	-0.0899974357	-0.0809850435	0.018099083	0.0236201637	0.0427528558	0.0237055734	-0.0061272693	0.0050069153	0.0454796579	0.0076317325	0.0069165877	0.0203876421	0.0738083701	0.0121130035	0.0136160409	-0.0115814123	-0.0361261954	-0.0380714516	-0.037567987	0.0456386635	0.0381390673	0.0678045275	-0.0269956331	-0.0447520696	-0.0357124507	0.031953926	-0.0637103375	-0.0800434641	-0.0711466425	0.0530305087	-0.019785865	0.0302058391	-0.0289221853	-0.0199261733	-0.0849436595	-0.0314130019	0.0506481783	0.06438753	-0.0927286892	0.0487566571	0.019298844	-0.0246709543	-0.0592436651	-0.0669625344	0.0369808615	0.0927419841	-0.0135313087	0.0097478121	0.0012581054	0.0861737541	0.0312741064	0.0733111195	0.0729778853	0.0724236164	0.0716499917	0.0	-0.0330605	-0.0687832999999999	0.0047311423588899	0.00109299666025	-0.0455263	0.025752	0.000663165504	0.00207264399169	-0.176347	0.057427	0.003297860329	0.031098264409	-0.00351483	-0.00056569	1.23540299289e-05	3.200051761000002e-07	-0.000219202	-0.000415512	4.8049516804e-08	1.72650222144e-07	0.0008988139999999	-0.000560166	8.078666065958203e-07	3.13785947556112e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2822.065039240274	9.13049437958989	7964051.08570221	83.36592761572258	5593.690002673479	28.740006015327708	825.9879457610729	31289367.84600923	2840.083493690397	8.210374514522755	67.41024966872476	8066074.251132651	3223.178075831336	3010.4488314599107	1.213816	33.004608	0.32840498	0.16108	-0.0617504998	0.0473701137	0.0259615224	-0.0546926792	-0.066956169	0.0085919217	-0.0656559462	-0.0651487369	0.0293765714	-0.0562993162	-0.0081021384	-0.0031427136	0.0179729757	-0.0828910301	0.0260443233	-0.0335795313	0.0365423469	-0.0214963053	0.026447205	0.0112090261	-0.0232329204	0.1047497154	-0.022157259	0.0023129413	0.0208065148	-0.0177599607	-0.038114764	-0.0204269259	0.0236699846	-0.0101475872	-0.0760704753	-0.0231638592	0.0076102821	-0.0429084492	0.0043814525	-0.0534056746	0.0286009674	-0.0355110802	-0.0583211855	0.0519154251	0.0690820291	0.111381517	-0.0860389822	-0.034012215	0.0155090569	-0.0387022998	-0.082045082	0.0008520366	0.0795289351	-0.0132570274	0.0684920692	-0.0037287416	4.80137e-05	0.0946273558	0.0481849732	-0.0337809119	0.024867192	-0.0077035212	-0.0222221084	0.1643226587	-0.0347391565	0.0484147887	9.1504e-06	-0.0668457797	0.058458912	0.0231468236	0.0348100291	-0.0142357687	-0.0542082748	-0.0048258127	-0.0060116235	0.0224775501	-0.0272679318	-0.0513795174	0.0556934846	0.0507110142	-0.0388516607	-0.0401392381	0.0093922973	0.0437153972	0.0319398545	-0.0775257086	0.0216345411	-0.0573402407	-0.0425811265	0.0133130092	-0.0142702079	-0.0766333091	-0.0159710204	0.0057476576	-0.0113229023	0.0799522171	0.008564728	-0.0527336336	0.0254715499	0.0327643789	0.0732742877	0.0728308183	0.0720936897	0.0710658739	0.0	-0.0899574	-0.0568969	0.00323725722961	0.00809233381476	-0.0087709199999999	0.0367553800000001	0.0013509579589444	7.692903764639823e-05	-0.0269582	0.1493888	0.0223170135654399	0.00072674454724	-0.00212517	0.00138966	4.5163475289e-06	1.9311549156e-06	-0.000313644	-9.444200000000004e-05	9.837255873600003e-08	8.919291364000005e-09	0.00112199	0.0002231760000001	1.2588615601e-06	4.9807526976044654e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
