participant_id	psi_id	ses	FFMQ_OBSERVE	FFMQ_ACTIONS	FFMQ_NONJUDGE	FFMQ_NONREACT	FFMQ_DESCRIPTION	imputation_threshold
sub-PC201	PSI-1010	meditation-beforetraining	7	9	15	12	11	0.5
sub-PC202	PSI-0304	meditation-beforetraining	10	12	9	9	5	0.5
sub-PC203	PSI-0244	meditation-beforetraining	6	10	14	10	9	0.5
sub-PC204	PSI-0198	meditation-beforetraining	10	14	12	12	9	0.5
sub-PC205	PSI-0094	meditation-beforetraining	10	8	12	7	9	0.5
sub-PC206	PSI-0034	meditation-beforetraining	9	9	8	12	10	0.5
sub-PC207	PSI-0819	meditation-beforetraining	7	9	11	12	9	0.5
sub-PC208	PSI-0264	meditation-beforetraining	10	10	9	8	8	0.5
sub-PC209	PSI-0565	meditation-beforetraining	11	9	14	14	11	0.5
sub-PC210	PSI-1309	meditation-beforetraining	11	9	9	9	10	0.5
sub-PC211	PSI-1342	meditation-beforetraining	9	10	6	7	6	0.5
sub-PC212	PSI-0990	meditation-beforetraining	13	9	11	9	11	0.5
sub-PC213	PSI-0347	meditation-beforetraining	7	8	11	13	8	0.5
sub-PC214	PSI-1433	meditation-beforetraining	13	10	14	8	13	0.5
sub-PC215	PSI-1085	meditation-beforetraining	11	8	14	12	13	0.5
sub-PC216	PSI-1317	meditation-beforetraining	9	9	13	9	10	0.5
sub-PC217	PSI-1702	meditation-beforetraining	11	9	12	9	9	0.5
sub-PC218	PSI-0099	meditation-beforetraining	7	10	8	6	8	0.5
sub-PC219	PSI-2021	meditation-beforetraining	13	9	12	11	12	0.5
sub-PC220	PSI-2040	meditation-beforetraining	7	8	12	9	12	0.5
sub-PC221	PSI-0077	meditation-beforetraining	9	9	11	12	11	0.5
sub-PC222	PSI-1655	meditation-beforetraining	9	12	14	8	10	0.5
sub-PC223	PSI-2009	meditation-beforetraining	8	10	10	9	9	0.5
sub-PC224	PSI-1958	meditation-beforetraining	8	11	10	8	8	0.5
sub-PC225	PSI-1161	meditation-beforetraining	11	7	10	9	11	0.5
sub-PC226	PSI-0180	meditation-beforetraining	11	6	8	7	9	0.5
sub-PC227	PSI-1336	meditation-beforetraining	10	12	14	12	7	0.5
sub-PC228	PSI-0170	meditation-beforetraining	9	9	11	10	8	0.5
sub-PC229	PSI-1748	meditation-beforetraining	12	15	13	12	12	0.5
sub-PC230	PSI-1637	meditation-beforetraining	10	7	9	4	11	0.5
sub-PC231	PSI-1677	meditation-beforetraining	14	8	14	7	6	0.5
sub-PC232	PSI-0334	meditation-beforetraining	15	11	14	14	15	0.5
sub-PC233	PSI-1957	meditation-beforetraining	8	10	11	14	10	0.5
